record_type,source_id,scope,quality,enchantment,payload_json
tier,silver,base,silver,,"{""abilityIds"":[""0""],""attributes"":{""CooldownMax"":5000,""DamageAmount"":35,""Multicast"":1},""auraIds"":[""1"",""2"",""3"",""4"",""5""],""tooltipIds"":[0,1]}"
tier,gold,base,gold,,"{""abilityIds"":[""0""],""attributes"":{""DamageAmount"":70},""auraIds"":[""1"",""2"",""3"",""4"",""5""],""tooltipIds"":[0,1]}"
tier,diamond,base,diamond,,"{""abilityIds"":[""0""],""attributes"":{""DamageAmount"":140},""auraIds"":[""1"",""2"",""3"",""4"",""5""],""tooltipIds"":[0,1]}"
ability,0,base,,,"{""action"":{""referenceValue"":null,""target"":""OpponentPlayer"",""type"":""TActionPlayerDamage""},""activeIn"":""HandOnly"",""prerequisites"":null,""priority"":""Medium"",""trigger"":""TTriggerOnCardFired"",""worksIn"":""Anywhere""}"
aura,1,base,,,"{""action"":{""attribute"":""Multicast"",""operation"":""Add"",""target"":{""conditions"":null,""type"":""TTargetCardSelf""},""type"":""TAuraActionCardModifyAttribute"",""value"":{""type"":""TFixedValue"",""value"":1.0}},""activeIn"":""HandOnly"",""prerequisites"":[{""amount"":1,""comparison"":""GreaterThanOrEqual"",""subject"":{""condition"":{""operator"":""Any"",""tags"":[""Property""],""type"":""TCardConditionalTag""},""excludeSelf"":false,""section"":""SelfHand"",""type"":""TTargetCardSection""},""type"":""TPrerequisiteCardCount""}],""sourceAuraId"":""1"",""worksIn"":""Anywhere""}"
aura,2,base,,,"{""action"":{""attribute"":""Multicast"",""operation"":""Add"",""target"":{""conditions"":null,""type"":""TTargetCardSelf""},""type"":""TAuraActionCardModifyAttribute"",""value"":{""type"":""TFixedValue"",""value"":1.0}},""activeIn"":""HandAndStash"",""prerequisites"":[{""amount"":1,""comparison"":""GreaterThanOrEqual"",""subject"":{""condition"":{""operator"":""Any"",""tags"":[""Tool""],""type"":""TCardConditionalTag""},""excludeSelf"":false,""section"":""SelfHand"",""type"":""TTargetCardSection""},""type"":""TPrerequisiteCardCount""}],""sourceAuraId"":""2"",""worksIn"":""Anywhere""}"
aura,3,base,,,"{""action"":{""attribute"":""Multicast"",""operation"":""Add"",""target"":{""conditions"":null,""type"":""TTargetCardSelf""},""type"":""TAuraActionCardModifyAttribute"",""value"":{""type"":""TFixedValue"",""value"":1.0}},""activeIn"":""HandAndStash"",""prerequisites"":[{""amount"":1,""comparison"":""GreaterThanOrEqual"",""subject"":{""condition"":{""operator"":""Any"",""tags"":[""Friend""],""type"":""TCardConditionalTag""},""excludeSelf"":false,""section"":""SelfHand"",""type"":""TTargetCardSection""},""type"":""TPrerequisiteCardCount""}],""sourceAuraId"":""3"",""worksIn"":""Anywhere""}"
aura,4,base,,,"{""action"":{""attribute"":""Multicast"",""operation"":""Add"",""target"":{""conditions"":null,""type"":""TTargetCardSelf""},""type"":""TAuraActionCardModifyAttribute"",""value"":{""type"":""TFixedValue"",""value"":1.0}},""activeIn"":""HandAndStash"",""prerequisites"":[{""amount"":1,""comparison"":""GreaterThanOrEqual"",""subject"":{""condition"":{""attribute"":""AmmoMax"",""comparison"":""GreaterThan"",""type"":""TCardConditionalAttribute"",""value"":0.0},""excludeSelf"":false,""section"":""SelfHand"",""type"":""TTargetCardSection""},""type"":""TPrerequisiteCardCount""}],""sourceAuraId"":""4"",""worksIn"":""Anywhere""}"
aura,5,base,,,"{""action"":{""attribute"":""Multicast"",""operation"":""Add"",""target"":{""conditions"":null,""type"":""TTargetCardSelf""},""type"":""TAuraActionCardModifyAttribute"",""value"":{""type"":""TFixedValue"",""value"":1.0}},""activeIn"":""HandAndStash"",""prerequisites"":[{""amount"":1,""comparison"":""GreaterThanOrEqual"",""subject"":{""condition"":{""operator"":""Any"",""tags"":[""Relic""],""type"":""TCardConditionalTag""},""excludeSelf"":false,""section"":""SelfHand"",""type"":""TTargetCardSection""},""type"":""TPrerequisiteCardCount""}],""sourceAuraId"":""5"",""worksIn"":""Anywhere""}"
enchantment,Shielded,overlay,,Shielded,"{""ability"":{""action"":{""referenceValue"":null,""target"":""SelfPlayer"",""type"":""TActionPlayerShieldApply""},""activeIn"":""HandOnly"",""prerequisites"":null,""priority"":""Medium"",""sourceAbilityId"":""e1"",""trigger"":""TTriggerOnCardFired"",""worksIn"":""Anywhere""},""attributes"":{""ShieldApplyAmount"":0},""aura"":{""action"":{""attribute"":""ShieldApplyAmount"",""operation"":""Add"",""target"":""SelfCard"",""type"":""TAuraActionCardModifyAttribute"",""value"":{""attribute"":""DamageAmount"",""defaultValue"":0.0,""modifier"":{""mode"":""Multiply"",""shouldRound"":true,""value"":1.0},""target"":""SelfCard"",""type"":""TReferenceValueCardAttribute""}},""activeIn"":""HandAndStash"",""prerequisites"":null,""sourceAuraId"":""e2"",""worksIn"":""Anywhere""},""hiddenTags"":[""Shield""]}"
reference_build,3,task_locked_observation,diamond,Shielded,"{""rank"":3}"
