宠物ID,名称(自动),元素(自动),体型(自动),宠物定位(自动),阶段,敌方定位,HP,攻,防,盾,行动,机制ID,机制参数,面板分,机制分,克制,推荐日,备注,移动力,攻击次数
pal_001,棉角羊,水,一格,治疗,教学,小怪,20,8,0,0,3,mech_shield_regen,,59,0,,,,3,1
pal_002,灰尾狸,水,两格,治疗,前中期,首伤怪,22,5,0,0,3,mech_shield_regen,,52,0,,,,3,2
pal_003,芦花鸡,雷,两格,机动,中期,小怪,22,5,0,0,5,none,,62,0,,,,5,2
pal_004,青藤鼠,雷,两格,机动,中期,小怪,18,4,0,0,5,none,,55,0,,,,5,2
pal_005,赤尾狐,雷,三格,输出,前期,护盾怪,18,4,0,0,2,mech_grow_atk_each_round,,40,0,,,,2,2
pal_006,碧水鸭,地,两格,坦克,中期,小怪,22,5,0,0,3,mech_armor_flat,,52,0,,,,3,1
pal_007,雷须猫,地,一格,输出,前期,小怪,20,8,0,0,3,mech_grow_atk_each_round,,59,0,,,,3,1
pal_008,藤甲猿,水,两格,机动,前期,小怪,18,4,0,0,5,none,,55,0,,,,5,1
pal_009,火角鹿,水,一格,输出,中后期,首伤怪,20,8,0,0,3,mech_grow_atk_each_round,,59,24,,,,3,1
pal_010,霜羽鹭,水,两格,机动,中期,小怪,22,5,0,0,5,none,,62,0,,,,5,2
pal_011,冰背獭,草,一格,控制,后期,小怪,22,5,0,0,4,mech_counter_damage,,57,0,,,,4,2
pal_012,电棘鼠,火,两格,输出,后期,小怪,18,4,0,0,3,mech_fire_ignite_bonus,,45,0,,,,3,2
pal_013,苔甲龟,雷,一格,控制,前期,小怪,22,5,0,0,4,mech_counter_damage,,57,0,,,,4,1
pal_014,金钱狸,火,两格,机动,前中期,偷奖励怪,22,5,0,0,5,mech_fire_ignite_bonus,,62,24,,,,5,2
pal_015,黑甲猪,水,一格,输出,中期,小怪,22,5,0,0,3,mech_grow_atk_each_round,,52,0,,,,3,2
pal_016,涧水象,雷,一格,召唤,前期,小怪,22,5,0,0,3,mech_grow_shield_each_round,,52,0,,,,3,1
pal_017,黑角犀,火,两格,输出,后期,肉盾,20,8,0,0,3,mech_fire_ignite_bonus,,59,32,,,,3,1
pal_018,竹囊鼠,雷,三格,机动,后期,小怪,22,5,0,0,5,none,,62,0,,,,5,2
pal_019,夜穴鼹,雷,一格,输出,中后期,成长怪,18,4,0,0,3,mech_grow_atk_each_round,,45,24,,,,3,2
pal_020,沙鬃猪,水,三格,机动,中期,小怪,22,5,0,0,5,none,,62,0,,,,5,2
pal_021,暮羽鸦,水,两格,机动,中期,小怪,40,12,0,0,5,none,,101,0,,,,5,2
pal_022,岩爪鼹,龙,两格,机动,教学,肉盾,40,12,0,0,5,none,,101,0,,,,5,2
pal_023,墨潭鲵,草,一格,控制,中期,护盾怪,26,10,0,0,4,mech_counter_damage,,76,24,,,,4,1
pal_024,幽纹猫,火,两格,控制,中期,小怪,44,14,0,0,4,mech_fire_ignite_bonus,,106,0,,,,4,2
pal_025,泉须鲶,草,一格,经济,前期,小怪,22,8,0,0,3,none,,61,0,,,,3,1
pal_026,疾风狼,水,一格,控制,后期,偷奖励怪,38,16,0,0,4,mech_counter_damage,,106,48,,,,4,2
pal_027,惊羽雀,地,一格,机动,前期,小怪,22,8,0,0,5,none,,71,0,,,,5,1
pal_028,药草兔,水,一格,治疗,前期,小怪,28,8,0,2,3,mech_shield_regen,,77,0,,,,3,1
pal_029,黄背牛,水,两格,坦克,后期,光环怪,42,6,0,6,3,mech_armor_flat,,105,56,,,,3,1
pal_030,花刺蛛,水,三格,坦克,前期,小怪,48,4,0,6,2,mech_armor_flat,,100,0,,,,2,1
pal_031,青背鲵,水,三格,治疗,前中期,成长怪,52,10,0,4,2,mech_shield_regen,,112,24,,,,2,2
pal_032,石甲鲮,雷,一格,机动,前中期,限伤怪,34,14,0,0,5,none,,101,0,,,,5,2
pal_033,芭蕉熊,雷,两格,控制,前期,小怪,32,8,0,0,4,mech_counter_damage,,76,0,,,,4,1
pal_034,蜜纹獾,雷,两格,输出,中期,小怪,40,20,0,0,3,mech_grow_atk_each_round,,115,0,,,,3,2
pal_035,藤巢蜂,水,三格,控制,后期,小怪,62,18,0,0,4,mech_death_explosion,,136,0,,,,4,2
pal_036,云纹巨驼,火,两格,控制,中期,小怪,44,14,0,0,4,mech_fire_ignite_bonus,,106,0,,,,4,2
pal_037,月角白鹿,草,一格,控制,中期,小怪,38,16,0,0,4,mech_counter_damage,,106,0,,,,4,2
pal_038,疾风苍鹰,雷,两格,机动,中期,小怪,40,12,0,0,5,none,,101,0,,,,5,2
pal_039,银背巨兔,水,一格,机动,中期,小怪,34,14,0,0,5,none,,101,0,,,,5,2
pal_040,炎角黑羊,水,两格,坦克,前中期,反击怪,66,18,0,14,3,mech_shield_regen,,205,24,,,,3,2
pal_041,回春彩蝶,水,两格,控制,中期,小怪,44,14,0,0,4,mech_counter_damage,,106,0,,,,4,2
pal_042,赤焰蛮牛,雷,两格,输出,中期,小怪,28,12,0,0,3,mech_grow_atk_each_round,,79,16,,,,3,1
pal_043,泥甲巨鲶,水,三格,控制,后期,小怪,62,18,0,0,4,mech_counter_damage,,136,0,,,,4,2
pal_044,夜羽巨鸦,火,两格,控制,中期,小怪,44,14,0,0,4,mech_fire_ignite_bonus,,106,0,,,,4,2
pal_045,墨鳞巨蜥,水,两格,机动,中期,小怪,40,12,0,0,5,none,,101,0,,,,5,2
pal_046,月镰螳螂,水,两格,控制,中后期,反击怪,32,8,0,0,4,mech_counter_damage,,76,24,,,,4,1
pal_047,裂空苍鹰,水,两格,机动,前期,小怪,28,6,0,0,5,none,,71,0,,,,5,1
pal_048,木刺豪猪,水,三格,召唤,中期,小怪,54,10,0,0,2,mech_grow_shield_each_round,,94,0,,,,2,2
pal_049,铁臂黑猿,水,一格,机动,前期,小怪,22,8,0,0,5,none,,71,0,,,,5,1
pal_050,金甲蜂群,雷,一格,输出,前期,小怪,22,14,0,0,3,mech_grow_atk_each_round,,79,0,,,,3,1
pal_051,百花巨蜂,暗,一格,控制,前期,小怪,26,10,0,0,4,mech_counter_damage,,76,0,,,,4,1
pal_052,笑面山猫,雷,一格,输出,前期,小怪,22,14,0,0,3,mech_grow_atk_each_round,,79,0,,,,3,1
pal_053,霜尾雪貂,无,一格,输出,前期,小怪,22,14,0,0,3,mech_grow_atk_each_round,,79,0,,,,3,1
pal_054,白眉雪猿,水,两格,控制,中期,小怪,44,14,0,0,4,mech_death_explosion,,106,0,,,,4,2
pal_055,寒风幼螭,火,一格,机动,中期,召唤怪,34,14,0,0,5,none,,101,0,,,,5,2
pal_056,震角雷牛,无,一格,输出,前期,小怪,22,14,0,0,3,mech_grow_atk_each_round,,79,0,,,,3,1
pal_057,吹雪银狐,冰,一格,控制,中期,小怪,38,16,0,0,4,mech_counter_damage,,106,0,,,,4,2
pal_058,丹角火麟,冰,三格,控制,首领,精英,74,24,0,0,4,mech_counter_damage,,166,0,,,,4,3
pal_059,冰角白鹿,水,一格,控制,前期,小怪,26,10,0,0,4,mech_counter_damage,,76,0,,,,4,1
pal_060,霹雳战獒,火,一格,输出,中期,小怪,34,22,0,0,3,mech_fire_ignite_bonus,,115,0,,,,3,2
pal_061,苍焰赤豺,雷,一格,控制,前中期,成长怪,38,16,0,0,4,mech_counter_damage,,106,24,,,,4,2
pal_062,雷纹巨猿,雷,两格,机动,中期,小怪,40,12,0,0,5,none,,101,0,,,,5,2
pal_063,蜃雾白鹿,草,一格,控制,前期,小怪,26,10,0,0,4,mech_counter_damage,,76,0,,,,4,1
pal_064,翠冠花螭,雷,三格,机动,中期,小怪,46,10,0,0,5,none,,101,0,,,,5,2
pal_065,霆角龙犀,暗,一格,控制,中期,小怪,38,16,0,0,4,mech_counter_damage,,106,0,,,,4,2
pal_066,浪鳞水蛇,地,两格,输出,前期,小怪,28,12,0,0,3,mech_grow_atk_each_round,,79,0,,,,3,1
pal_067,沙鳞巨蟒,雷,一格,输出,前期,召唤怪,34,22,0,0,3,mech_grow_atk_each_round,,115,32,,,,3,2
pal_068,食梦黑貘,雷,一格,控制,中期,城堡怪,38,16,0,0,4,mech_counter_damage,,106,32,,,,4,2
pal_069,碎岩巨龟,龙,两格,输出,前期,小怪,28,12,0,0,3,mech_grow_atk_each_round,,79,0,,,,3,1
pal_070,猫翼夜蝠,水,两格,治疗,前期,小怪,34,6,0,2,3,mech_shield_regen,,77,0,,,,3,1
pal_071,甘露壁虎,火,一格,输出,前期,小怪,22,14,0,0,3,mech_fire_ignite_bonus,,79,0,,,,3,1
pal_072,赤巢火蚁,火,三格,控制,中期,光环怪,62,18,0,0,4,mech_fire_ignite_bonus,,136,32,,,,4,2
pal_073,烽翼火龙,龙,两格,经济,中后期,城堡怪,40,12,0,0,3,none,,91,0,,,,3,2
pal_074,霜翼冥龙,火,一格,控制,前期,小怪,26,10,0,0,4,mech_fire_ignite_bonus,,76,0,,,,4,1
pal_075,赤刃螳螂,水,两格,机动,前期,小怪,28,6,0,0,5,none,,71,0,,,,5,1
pal_076,迅雷金雕,水,一格,坦克,中期,小怪,48,14,0,10,3,mech_armor_flat,,155,0,,,,3,2
