宠物ID,名称(自动),元素(自动),品质(自动),定位(自动),标签(自动),商品类型,商店状态,解锁日,池档,默认价,价格覆盖,夜市权重,元素店权重,定位店权重,品质店权重,奖励权重,商店池(自动),奖励池(自动),出现条件,备注
pal_001,棉角羊,水,青铜,治疗,水、龙、治疗、无、风、基准单点、发育,宠物,启用,1,pT1,2,2,100,100,90,100,60,"night_base, elem_火, elem_雷, elem_冰, elem_地, role_召唤, role_坦克, role_控制, role_输出, role_机动",reward_pT1,,来源对象 bz_van_001；主附魔 Restorative；真实来源地点数 10
pal_002,灰尾狸,水,黄金,治疗,水、地、治疗、无、风、抗压单点、前排、阻挡,宠物,启用,4,pT3,6,6,65,100,90,100,40,"night_base, elem_水, elem_雷, elem_无, role_坦克, role_控制, role_输出, special_merchant, elite_high, role_远点压制",reward_pT1,,来源对象 bz_van_002；主附魔 Turbo；真实来源地点数 10
pal_003,芦花鸡,雷,白银,机动,雷、机动、无、风、削弱远点、发育,宠物,启用,2,pT2,4,4,85,100,90,100,50,"night_base, elem_水, elem_雷, elem_无, role_召唤, role_坦克, role_控制, role_机动, special_merchant, elite_high",reward_pT1,,来源对象 bz_van_003；主附魔 Turbo；真实来源地点数 10
pal_004,青藤鼠,雷,白银,机动,雷、机动、草、风、远点压制、后排、增益,宠物,启用,2,pT2,4,4,85,100,90,100,50,"elem_水, elem_雷, elem_冰, elem_无, role_召唤, role_坦克, role_控制, special_merchant, elite_high, role_远点压制",reward_pT1,,来源对象 bz_van_004；主附魔 Turbo；真实来源地点数 10
pal_005,赤尾狐,火,黄金,输出,火、输出、雷、抗压承伤、爆发、前排,宠物,启用,4,pT3,6,6,65,100,90,100,40,"night_base, elem_火, role_输出, tier_pT3",reward_pT1,,来源对象 bz_van_005；主附魔 Deadly；真实来源地点数 10
pal_006,碧水鸭,地,青铜,坦克,地、坦克、水、毒伤牵制、后排、增益,宠物,启用,1,pT1,2,2,100,100,90,100,60,"elem_水, elem_雷, elem_冰, elem_龙, elem_无, role_召唤, role_坦克, role_控制, role_治疗, tier_pT3",reward_pT1,,来源对象 bz_van_006；主附魔 Shielded；真实来源地点数 10
pal_007,雷须猫,雷,青铜,控制,雷、火、控制、地、输出、风、抗压承伤、前排、阻挡,宠物,启用,1,pT1,2,2,100,100,90,100,60,"night_base, elem_火, elem_雷, role_控制, tier_pT1",reward_pT1,,来源对象 bz_van_007；主附魔 Deadly；真实来源地点数 10
pal_008,藤甲猿,水,青铜,机动,水、机动、草、坦克、风、抗压承伤、防御、前排、阻挡,宠物,启用,1,pT1,2,2,100,100,90,100,60,"elem_水, elem_雷, elem_冰, elem_无, role_召唤, role_坦克, role_控制, role_输出, special_merchant, elite_high",reward_pT1,,来源对象 bz_van_008；主附魔 Turbo；真实来源地点数 10
pal_009,火角鹿,火,青铜,召唤,火、召唤、水、输出、火系压制、爆发、前排,宠物,启用,1,pT1,2,2,100,100,90,100,60,"night_base, elem_火, role_召唤, tier_pT1",reward_pT1,,来源对象 bz_van_009；主附魔 Deadly；真实来源地点数 10
pal_010,霜羽鹭,水,白银,机动,水、龙、机动、冰、治疗、水系牵制、后排、增益,宠物,启用,2,pT2,4,4,85,100,90,100,50,"night_base, elem_火, elem_水, elem_草, elem_雷, elem_无, role_坦克, role_控制, role_输出, role_抗压承伤",reward_pT1,,来源对象 bz_van_010；主附魔 Deadly；真实来源地点数 10
