遗物ID,遗物名,类型,品质,触发,机制ID,机制名(自动),参数,关联宠物ID,名称(自动),关联商店池,关联奖励池,解锁日,权重,状态,备注
relic_001,风系遗物01,遗物,青铜,战斗开始,none,无机制,{value:1},pal_001,棉悠悠,elem_土,reward_pT3,1,100,正式,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_002,风系祝福02,祝福,白银,攻击后,mech_counter_damage,受击反伤,{value:1},pal_004,翠叶鼠,elem_水,reward_pT1,2,99,正式,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_003,风系装备03,装备,黄金,受击后,none,无机制,{value:1},pal_007,伏特喵,elem_火,reward_pT2,3,98,正式,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_004,水系诅咒04,诅咒,钻石,死亡时,none,无机制,{value:1},pal_010,企丸丸,elem_风,reward_pT3,4,97,正式,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_005,土系商店券05,商店券,青铜,商店刷新,none,无机制,{value:1},pal_013,叶泥泥,night_base,reward_pT1,5,96,正式,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_006,水系遗物06,遗物,白银,战斗结算,none,无机制,{value:1},pal_016,壶小象,role_召唤,reward_pT2,6,95,正式,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_007,土系祝福07,祝福,黄金,战斗开始,none,无机制,{value:1},pal_019,寐魔,role_坦克,reward_pT3,7,94,正式,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_008,土系装备08,装备,钻石,攻击后,none,无机制,{value:1},pal_022,遁地鼠,role_控制,reward_pT1,1,93,正式,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_009,水系诅咒09,诅咒,青铜,受击后,none,无机制,{value:1},pal_025,鲁米儿,role_机动,reward_pT2,2,92,正式,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_010,风系商店券10,商店券,白银,死亡时,none,无机制,{value:1},pal_028,波娜兔,role_治疗,reward_pT3,3,91,正式,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_011,水系遗物11,遗物,黄金,商店刷新,none,无机制,{value:1},pal_031,鲨小子,role_经济,reward_pT1,4,90,正式,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_012,风系祝福12,祝福,钻石,战斗结算,none,无机制,{value:1},pal_034,棉花糖,role_输出,reward_pT2,5,89,正式,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_013,风系装备13,装备,青铜,战斗开始,none,无机制,{value:1},pal_037,紫霞鹿,tier_pT1,reward_pT3,6,88,正式,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_014,火系诅咒14,诅咒,白银,攻击后,none,无机制,{value:1},pal_040,炎魔羊,tier_pT2,reward_pT1,7,87,正式,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_015,土系商店券15,商店券,黄金,受击后,none,无机制,{value:1},pal_043,趴趴鲶,tier_pT3,reward_pT2,1,86,正式,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_016,土系遗物16,遗物,钻石,死亡时,none,无机制,{value:1},pal_046,月镰魔,elem_土,reward_pT3,2,85,正式,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_017,风系祝福17,祝福,青铜,商店刷新,mech_counter_damage,受击反伤,{value:1},pal_049,铁拳猿,elem_水,reward_pT1,3,84,正式,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_018,风系装备18,装备,白银,战斗结算,none,无机制,{value:1},pal_052,笑魇猫,elem_火,reward_pT2,4,83,正式,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_019,水系诅咒19,诅咒,黄金,战斗开始,none,无机制,{value:1},pal_055,疾旋鼬,elem_风,reward_pT3,5,82,正式,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_020,火系商店券20,商店券,钻石,攻击后,none,无机制,{value:1},pal_058,火麒麟,night_base,reward_pT1,6,81,正式,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_021,火系遗物21,遗物,青铜,受击后,none,无机制,{value:1},pal_061,苍焰狼,role_召唤,reward_pT2,7,80,正式,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_022,风系祝福22,祝福,白银,死亡时,none,无机制,{value:1},pal_064,花冠龙,role_坦克,reward_pT3,1,79,正式,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
relic_023,土系装备23,装备,黄金,商店刷新,none,无机制,{value:1},pal_067,流沙蛇,role_控制,reward_pT1,2,78,正式,引用宠物ID/机制ID/池ID，后续可改成更具体美术名
