宠物ID,名称(自动),元素(自动),定位(自动),形状ID,形状名,形状分类,命中格数,方向,槽数,槽1元素,槽2元素,槽3元素,基础层数,行动类型,技能,机制ID,机制名(自动),接入状态,备注
pal_001,棉悠悠,无,,01,形状01,一格形状,1,默认向右,3,无,无,无,1,召唤,buffAllSummons,none,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧相邻。
pal_002,捣蛋猫,无,,02,形状02,一格形状,1,默认向右,3,无,无,无,1,阻挡,castleReduce,none,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧隔一格。
pal_003,皮皮鸡,无,,03,形状03,一格形状,1,默认向右,3,无,无,无,1,召唤,buffAllSummons,none,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧隔两格。
pal_004,翠叶鼠,草,,04,形状04,一格形状,1,默认向右,3,草,草,草,1,场地,healAmpBonus,none,无机制,正式,新19形状；所有作用格默认结算3次。一格，右侧更远点。
pal_005,火绒狐,火,,05,形状05,二格形状,2,默认向右,3,火,火,火,1,输出,spaceExplosionBonus,none,无机制,正式,新19形状；所有作用格默认结算3次。二格，右侧连续两格。
pal_006,冲浪鸭,水,,06,形状06,二格形状,2,默认向右,3,水,水,水,1,场地,healAmpBonus,none,无机制,正式,新19形状；所有作用格默认结算3次。二格，角色左右各一格。
pal_007,伏特喵,雷,,07,形状07,二格形状,2,默认向右,3,雷,雷,雷,1,阻挡,castleReduce,none,无机制,正式,新19形状；所有作用格默认结算3次。二格，角色左右隔点。
pal_008,新叶猿,草,坦克,08,形状08,二格形状,2,默认向右,3,草,草,草,1,阻挡,castleReduce,mech_shield_regen,无机制,正式,新19形状；所有作用格默认结算3次。二格，右侧远端连续两格。
pal_009,燎火鹿,火,输出,09,形状09,二格形状,2,默认向右,3,火,火,火,1,输出,spaceExplosionBonus,mech_first_hit_block,无机制,正式,新19形状；所有作用格默认结算3次。二格，右上与右下。
pal_010,企丸丸,水,治疗,10,形状10,二格形状,2,默认向右,3,水,冰,水,1,场地,healAmpBonus,mech_wind_slow_ap,无机制,正式,新19形状；所有作用格默认结算3次。二格，隔点右上与右下。
pal_011,企丸王,水,治疗,11,形状11,二格形状,2,默认向右,3,水,冰,水,1,场地,healAmpBonus,mech_wind_slow_ap,无机制,正式,新19形状；所有作用格默认结算3次。二格，左上与右下对角。
pal_012,电棘鼠,雷,控制,12,形状12,二格形状,2,默认向右,3,雷,雷,雷,1,牵制,advHitBonus,mech_wind_slow_ap,无机制,正式,新19形状；所有作用格默认结算3次。二格，左邻一格与右侧远点。
pal_013,叶泥泥,草,坦克,13,形状13,三格形状,3,默认向右,3,草,地,草,1,阻挡,castleReduce,mech_shield_regen,无机制,正式,新19形状；所有作用格默认结算3次。三格，右侧相邻竖三格。
pal_014,玉藻狐,无,经济,14,形状14,三格形状,3,默认向右,3,无,无,无,1,召唤,buffAllSummons,mech_steal_reward,无机制,正式,新19形状；所有作用格默认结算3次。三格，右侧近点加远端上下。
