shop_store_id,name,store_type,tags,default_slots,unlock_day,stall_count,day1_stalls,day2_stalls,day3_stalls,price_rule,status,note
night_base,寅将军,商品地点,水系、输出,3,1,2,1,1,1,按宠物品质,正式,独立摊位 Aila、Herma；关系候选 70 只；抽取时先选摊位，不合并来源货池。
elem_火,熊山君,商品地点,一格,3,1,2,1,1,1,按宠物品质,正式,独立摊位 Ande、Aero；关系候选 67 只；抽取时先选摊位，不合并来源货池。
elem_水,特处士,训练/商品地点,一格、两格、三格、技能宠、品质,3,1,2,1,1,1,按宠物品质,正式,独立摊位 Barkun、Adira；关系候选 218 只；抽取时先选摊位，不合并来源货池。
elem_草,刘伯钦,商品地点,品质,10,1,2,1,1,1,按宠物品质,正式,独立摊位 Curio、Pinfeather；关系候选 40 只；抽取时先选摊位，不合并来源货池。
elem_雷,孙悟空,训练/商品地点,技能宠、品质,3,1,2,1,1,1,按宠物品质,正式,独立摊位 Jay Jay、Argenta；关系候选 225 只；抽取时先选摊位，不合并来源货池。
elem_冰,小白龙,商品地点,输出,3,1,2,1,0,0,按宠物品质,正式,独立摊位 Kina、The Antiquarian；关系候选 83 只；抽取时先选摊位，不合并来源货池。
elem_地,金池长老,训练/商品地点,一格、两格、三格、技能宠,3,1,2,1,1,1,按宠物品质,正式,独立摊位 Midsworth、Old Zane；关系候选 89 只；抽取时先选摊位，不合并来源货池。
elem_暗,黑熊精,商品地点,综合,3,1,2,1,1,1,按宠物品质,正式,独立摊位 Valpak、Mr. Morland；关系候选 20 只；抽取时先选摊位，不合并来源货池。
elem_龙,凌虚子,训练/商品地点,坦克、技能宠,3,1,2,1,1,1,按宠物品质,正式,独立摊位 Nufu、Proteus；关系候选 145 只；抽取时先选摊位，不合并来源货池。
elem_无,苍狼精,训练/商品地点,两格、技能宠、品质,3,2,2,0,1,1,按宠物品质,正式,独立摊位 Mittel、Orlin；关系候选 177 只；抽取时先选摊位，不合并来源货池。
role_召唤,猪八戒,训练/商品地点,一格、两格、三格、输出、技能宠,3,2,2,0,1,1,按宠物品质,正式,独立摊位 Quixel、Vermir；关系候选 111 只；抽取时先选摊位，不合并来源货池。
role_坦克,黄风怪,训练/商品地点,输出、技能宠、品质,3,4,2,0,0,0,按宠物品质,正式,独立摊位 Goldie、Ryukon；关系候选 192 只；抽取时先选摊位，不合并来源货池。
role_控制,灵吉菩萨,训练/商品地点,技能宠、品质,3,4,2,0,0,0,按宠物品质,正式,独立摊位 Luxe、Bjorn；关系候选 145 只；抽取时先选摊位，不合并来源货池。
role_治疗,沙悟净,训练/商品地点,技能宠,3,5,2,0,0,0,按宠物品质,正式,独立摊位 Serafina、Malafang；关系候选 87 只；抽取时先选摊位，不合并来源货池。
role_输出,沙僧,训练/商品地点,水系、技能宠,3,6,2,0,0,0,按宠物品质,正式,独立摊位 Nautica、Professor Riggle；关系候选 81 只；抽取时先选摊位，不合并来源货池。
role_经济,黎山老母,训练/商品地点,技能宠、品质,3,5,2,0,0,0,按宠物品质,正式,独立摊位 Silvia、Slohmor Lumbra；关系候选 83 只；抽取时先选摊位，不合并来源货池。
role_机动,观音,商品地点,综合,3,6,2,0,0,0,按宠物品质,正式,独立摊位 Colt、Prospero；关系候选 36 只；抽取时先选摊位，不合并来源货池。
special_merchant,普贤,训练/商品地点,技能宠,3,4,2,0,0,0,按宠物品质,正式,独立摊位 Tok's Clocks、Zara；关系候选 80 只；抽取时先选摊位，不合并来源货池。
elite_high,文殊,商品地点,综合,3,4,2,0,0,0,按宠物品质,正式,独立摊位 Chronos、Vanessa；关系候选 37 只；抽取时先选摊位，不合并来源货池。
tier_pT1,镇元大仙,训练/商品地点,输出、技能宠,3,4,2,0,0,0,按宠物品质,正式,独立摊位 Aimbot、C4；关系候选 34 只；抽取时先选摊位，不合并来源货池。
tier_pT2,观音菩萨,训练/商品地点,水系、坦克、技能宠,3,4,2,0,0,0,按宠物品质,正式,独立摊位 Hef、Regenald；关系候选 32 只；抽取时先选摊位，不合并来源货池。
tier_pT3,白骨精,商品地点,水系、坦克,3,5,2,0,0,0,按宠物品质,正式,独立摊位 Kev's Armory、Gastro；关系候选 17 只；抽取时先选摊位，不合并来源货池。
role_召唤铺场,黄袍怪,训练/商品地点,坦克、技能宠,3,4,2,0,0,0,按宠物品质,正式,独立摊位 Cobweb、Fortis；关系候选 37 只；抽取时先选摊位，不合并来源货池。
role_机动压制,百花羞,商品地点,综合,3,4,2,0,0,0,按宠物品质,正式,独立摊位 Dryad、Lord Oak；关系候选 30 只；抽取时先选摊位，不合并来源货池。
role_抗压承伤,宝象国国王,商品地点,综合,3,4,2,0,0,0,按宠物品质,正式,独立摊位 The Tester、Shelter Shelby；关系候选 21 只；抽取时先选摊位，不合并来源货池。
role_重甲抗压,金角大王,商品地点,综合,3,4,2,0,0,0,按宠物品质,正式,独立摊位 Gaseo、Tatiana；关系候选 17 只；抽取时先选摊位，不合并来源货池。
role_远点压制,银角大王,商品地点,综合,3,6,1,0,0,0,按宠物品质,正式,独立摊位 Orion；关系候选 18 只；抽取时先选摊位，不合并来源货池。
role_风系铺场,九尾狐,商品地点,三格,3,5,1,0,0,0,按宠物品质,正式,独立摊位 Pol；关系候选 14 只；抽取时先选摊位，不合并来源货池。
role_风系牵制,狐阿七,商品地点,综合,3,4,1,0,0,0,按宠物品质,正式,独立摊位 Freiya；关系候选 9 只；抽取时先选摊位，不合并来源货池。
role_火系压制,狮猁王,商品地点,综合,3,6,1,0,0,0,按宠物品质,正式,独立摊位 Knightshade；关系候选 14 只；抽取时先选摊位，不合并来源货池。
