enchant_id,name_zh,class,bronze_effect,silver_effect,gold_effect,diamond_effect,recommended_for
Deadly,致命,输出,攻击+10%,攻击+20%,攻击+30%,攻击+40%，首击额外结算1次,武器、暴击、伤害型宠物
Fiery,烈焰,火系,命中附1层火,命中附2层火,命中附3层火,命中附4层火并引燃,灼烧、爆炸、火系宠物
Golden,点金,经济,出售价值+1,出售价值+2,出售价值+3,出售价值+4，胜利额外+1金币,价值、金币、购买型宠物
Heavy,沉重,坦克,最大生命+6,最大生命+12,最大生命+18,最大生命+24且受击首次减半,生命、重型、前排宠物
Icy,冰霜,控制,命中附1层冰,命中附2层冰,命中附3层冰,命中附4层冰并使目标行动-1,冻结、减速、冰系宠物
Mossy,苔生,续航,回合开始恢复2,回合开始恢复4,回合开始恢复6,回合开始恢复8并获得4盾,再生、植物、持续型宠物
Obsidian,黑曜,破坏,破盾伤害+10%,破盾伤害+20%,破盾伤害+30%,破盾伤害+40%且击破时溅射,摧毁、死亡、诅咒型宠物
Radiant,辉光,团队,相邻友军攻击+1,相邻友军攻击+2,相邻友军攻击+3,相邻友军攻击+4且首次阵亡免疫,友军、召唤、圣物型宠物
Restorative,回春,治疗,治疗量+10%,治疗量+20%,治疗量+30%,治疗量+40%且溢出转护盾,治疗、恢复型宠物
Shielded,护体,护盾,开战获得6盾,开战获得12盾,开战获得18盾,开战获得24盾且每5回合补6盾,护盾、护甲型宠物
Shiny,闪耀,奖励,奖励权重+5%,奖励权重+10%,奖励权重+15%,奖励权重+20%且商店刷新+1次,通用、奖励、稀有型宠物
Toxic,剧毒,草系,命中附1层毒,命中附2层毒,命中附3层毒,命中附4层毒且每层额外伤害+1,中毒、药剂、草系宠物
Turbo,迅捷,机动,移动力+1,移动力+1且行动+1,移动力+2且行动+1,移动力+2且行动+2，首次行动提前,加速、充能、机动型宠物
