pet_id,pet_name,source_object_id,primary_enchant,eligible_enchant_count,eligible_enchants,classification_reason
pal_001,棉角羊,bz_van_001,Restorative,13,"Restorative, Mossy, Radiant, Deadly, Fiery, Golden, Heavy, Icy, Obsidian, Shielded, Shiny, Toxic, Turbo","治疗/水、龙；来源标签 aquatic, relic, economyreference, value, heal"
pal_002,灰尾狸,bz_van_002,Turbo,13,"Turbo, Restorative, Mossy, Radiant, Deadly, Fiery, Golden, Heavy, Icy, Obsidian, Shielded, Shiny, Toxic","治疗/水、地；来源标签 aquatic, weapon, tool, damage, haste"
pal_003,芦花鸡,bz_van_003,Turbo,13,"Turbo, Deadly, Shiny, Fiery, Golden, Heavy, Icy, Mossy, Obsidian, Radiant, Restorative, Shielded, Toxic","机动/雷；来源标签 weapon, damage, ammo, hastereference"
pal_004,青藤鼠,bz_van_004,Turbo,13,"Turbo, Deadly, Shiny, Fiery, Golden, Heavy, Icy, Mossy, Obsidian, Radiant, Restorative, Shielded, Toxic","机动/雷；来源标签 tool, haste"
pal_005,赤尾狐,bz_van_005,Deadly,13,"Deadly, Fiery, Obsidian, Golden, Heavy, Icy, Mossy, Radiant, Restorative, Shielded, Shiny, Toxic, Turbo","输出/雷；来源标签 weapon, damage, ammo"
pal_006,碧水鸭,bz_van_006,Shielded,13,"Shielded, Heavy, Mossy, Deadly, Fiery, Golden, Icy, Obsidian, Radiant, Restorative, Shiny, Toxic, Turbo",坦克/地；来源标签 shield
pal_007,雷须猫,bz_van_007,Deadly,13,"Deadly, Fiery, Obsidian, Golden, Heavy, Icy, Mossy, Radiant, Restorative, Shielded, Shiny, Toxic, Turbo","输出/地；来源标签 weapon, damage"
pal_008,藤甲猿,bz_van_008,Turbo,13,"Turbo, Deadly, Shiny, Fiery, Golden, Heavy, Icy, Mossy, Obsidian, Radiant, Restorative, Shielded, Toxic","机动/水；来源标签 aquatic, toy, haste"
pal_009,火角鹿,bz_van_009,Deadly,13,"Deadly, Fiery, Obsidian, Golden, Heavy, Icy, Mossy, Radiant, Restorative, Shielded, Shiny, Toxic, Turbo","输出/水；来源标签 weapon, aquatic, damage"
pal_010,霜羽鹭,bz_van_010,Deadly,13,"Deadly, Turbo, Shiny, Fiery, Golden, Heavy, Icy, Mossy, Obsidian, Radiant, Restorative, Shielded, Toxic","机动/水、龙；来源标签 weapon, tech, aquatic, vehicle, damage, flying"
pal_011,冰背獭,bz_van_011,Toxic,13,"Toxic, Icy, Obsidian, Deadly, Fiery, Golden, Heavy, Mossy, Radiant, Restorative, Shielded, Shiny, Turbo","控制/草、龙；来源标签 weapon, relic, damage, poison"
pal_012,电棘鼠,bz_van_012,Fiery,13,"Fiery, Deadly, Obsidian, Golden, Heavy, Icy, Mossy, Radiant, Restorative, Shielded, Shiny, Toxic, Turbo","输出/火、雷；来源标签 weapon, damage, ammo, burnreference"
pal_013,苔甲龟,bz_van_013,Icy,13,"Icy, Toxic, Obsidian, Deadly, Fiery, Golden, Heavy, Mossy, Radiant, Restorative, Shielded, Shiny, Turbo","控制/雷；来源标签 weapon, damage, ammo, slow"
pal_014,金钱狸,bz_van_014,Fiery,13,"Fiery, Turbo, Deadly, Shiny, Golden, Heavy, Icy, Mossy, Obsidian, Radiant, Restorative, Shielded, Toxic","机动/火；来源标签 burn, haste"
pal_015,黑甲猪,bz_van_015,Deadly,13,"Deadly, Fiery, Obsidian, Golden, Heavy, Icy, Mossy, Radiant, Restorative, Shielded, Shiny, Toxic, Turbo","输出/水；来源标签 weapon, damage"
pal_016,涧水象,bz_van_016,Deadly,13,"Deadly, Radiant, Mossy, Shielded, Fiery, Golden, Heavy, Icy, Obsidian, Restorative, Shiny, Toxic, Turbo","召唤/雷、龙；来源标签 friend, weapon, damage, critreference"
pal_017,黑角犀,bz_van_017,Fiery,13,"Fiery, Deadly, Obsidian, Golden, Heavy, Icy, Mossy, Radiant, Restorative, Shielded, Shiny, Toxic, Turbo","输出/火、雷；来源标签 weapon, damage, ammo, burn"
pal_018,竹囊鼠,bz_van_018,Turbo,13,"Turbo, Deadly, Shiny, Fiery, Golden, Heavy, Icy, Mossy, Obsidian, Radiant, Restorative, Shielded, Toxic","机动/雷；来源标签 weapon, damage"
pal_019,夜穴鼹,bz_van_019,Deadly,13,"Deadly, Fiery, Obsidian, Golden, Heavy, Icy, Mossy, Radiant, Restorative, Shielded, Shiny, Toxic, Turbo",输出/雷；来源标签 ammoreference
pal_020,沙鬃猪,bz_van_020,Turbo,13,"Turbo, Deadly, Shiny, Fiery, Golden, Heavy, Icy, Mossy, Obsidian, Radiant, Restorative, Shielded, Toxic","机动/水、雷；来源标签 aquatic, property, haste, damagereference, ammoreference"
pal_021,暮羽鸦,bz_van_021,Turbo,13,"Turbo, Deadly, Shiny, Fiery, Golden, Heavy, Icy, Mossy, Obsidian, Radiant, Restorative, Shielded, Toxic","机动/水、龙；来源标签 aquatic, tool, haste"
pal_022,岩爪鼹,bz_van_022,Turbo,13,"Turbo, Deadly, Shiny, Fiery, Golden, Heavy, Icy, Mossy, Obsidian, Radiant, Restorative, Shielded, Toxic",机动/龙；来源标签 无
pal_023,墨潭鲵,bz_van_023,Toxic,13,"Toxic, Icy, Obsidian, Deadly, Fiery, Golden, Heavy, Mossy, Radiant, Restorative, Shielded, Shiny, Turbo","控制/草、水；来源标签 aquatic, friend, poison, hastereference"
pal_024,幽纹猫,bz_van_024,Fiery,13,"Fiery, Icy, Toxic, Obsidian, Deadly, Golden, Heavy, Mossy, Radiant, Restorative, Shielded, Shiny, Turbo","控制/火；来源标签 weapon, tech, damage, burn"
pal_025,泉须鲶,bz_van_025,Golden,13,"Golden, Shiny, Radiant, Deadly, Fiery, Heavy, Icy, Mossy, Obsidian, Restorative, Shielded, Toxic, Turbo","经济/草、水；来源标签 aquatic, food, crit"
pal_026,疾风狼,bz_van_026,Icy,13,"Icy, Toxic, Obsidian, Deadly, Fiery, Golden, Heavy, Mossy, Radiant, Restorative, Shielded, Shiny, Turbo","控制/水；来源标签 aquatic, slow"
pal_027,惊羽雀,bz_van_027,Turbo,13,"Turbo, Deadly, Shiny, Fiery, Golden, Heavy, Icy, Mossy, Obsidian, Radiant, Restorative, Shielded, Toxic","机动/地；来源标签 weapon, damage, gold, haste"
pal_028,药草兔,bz_van_028,Restorative,13,"Restorative, Mossy, Radiant, Deadly, Fiery, Golden, Heavy, Icy, Obsidian, Shielded, Shiny, Toxic, Turbo","治疗/水、龙；来源标签 aquatic, relic, heal"
pal_029,黄背牛,bz_van_029,Shielded,13,"Shielded, Heavy, Mossy, Deadly, Fiery, Golden, Icy, Obsidian, Radiant, Restorative, Shiny, Toxic, Turbo","坦克/水、地；来源标签 aquatic, apparel, relic, shield"
