stat_id,name,category,value_type,default_value,min_value,max_value,display_unit,stacking_rule,description
max_hp,生命上限,核心,integer,1,1,999999,点,flat_percent_multiplier_override_clamp,宠物可拥有的最大生命值
atk,攻击,核心,integer,0,0,999999,点,flat_percent_multiplier_override_clamp,物理伤害与多数技能的基础攻击值
def,防御,核心,integer,0,0,999999,点,flat_percent_multiplier_override_clamp,进入护盾与生命前抵消伤害
starting_shield,初始护盾,核心,integer,0,0,999999,点,flat_percent_multiplier_override_clamp,进入战斗时获得的基础护盾
speed,速度,行动,integer,100,0,9999,点,flat_percent_multiplier_override_clamp,行动顺序与速度类条件使用
initiative,先攻,行动,integer,0,-9999,9999,点,flat_percent_multiplier_override_clamp,同速度单位的确定性先攻修正
move_range,移动力,行动,integer,0,0,99,格,flat_percent_multiplier_override_clamp,单次移动允许的最大格数
action_points,行动点,行动,integer,3,0,99,点,flat_percent_multiplier_override_clamp,宠物行动资源上限
attack_count,攻击次数,行动,integer,1,0,99,次,flat_percent_multiplier_override_clamp,兼容非技能攻击行为的次数
physical_power_permille,物理威力,输出,permille,1000,0,10000,‰,flat_percent_multiplier_override_clamp,所有物理效果的最终威力倍率
element_power_permille,元素威力,输出,permille,1000,0,10000,‰,flat_percent_multiplier_override_clamp,所有元素伤害的最终威力倍率
skill_power_permille,技能威力,输出,permille,1000,0,10000,‰,flat_percent_multiplier_override_clamp,主动技能效果的最终倍率
combo_power_permille,组合威力,输出,permille,1000,0,10000,‰,flat_percent_multiplier_override_clamp,技能组合奖励的最终倍率
boss_damage_permille,Boss伤害,输出,permille,1000,0,10000,‰,flat_percent_multiplier_override_clamp,攻击 Boss 时的最终倍率
crit_rate_permille,暴击率,输出,permille,0,0,1000,‰,flat_percent_multiplier_override_clamp,确定性暴击判定阈值
crit_damage_permille,暴击伤害,输出,permille,1500,1000,10000,‰,flat_percent_multiplier_override_clamp,暴击发生时的伤害倍率
armor_pierce_flat,固定穿防,输出,integer,0,0,999999,点,flat_percent_multiplier_override_clamp,伤害结算前忽略目标固定防御
armor_pierce_permille,比例穿防,输出,permille,0,0,1000,‰,flat_percent_multiplier_override_clamp,伤害结算前按比例忽略目标防御
lifesteal_permille,吸血,输出,permille,0,0,1000,‰,flat_percent_multiplier_override_clamp,按生命伤害恢复自身生命
damage_taken_permille,承伤倍率,防御,permille,1000,0,10000,‰,flat_percent_multiplier_override_clamp,所有进入伤害的最终倍率
physical_taken_permille,物理承伤,防御,permille,1000,0,10000,‰,flat_percent_multiplier_override_clamp,物理伤害的额外承伤倍率
element_taken_permille,元素承伤,防御,permille,1000,0,10000,‰,flat_percent_multiplier_override_clamp,元素伤害的额外承伤倍率
block_rate_permille,格挡率,防御,permille,0,0,1000,‰,flat_percent_multiplier_override_clamp,确定性格挡判定阈值
block_value,格挡值,防御,integer,0,0,999999,点,flat_percent_multiplier_override_clamp,格挡时抵消的固定伤害
dodge_rate_permille,闪避率,防御,permille,0,0,1000,‰,flat_percent_multiplier_override_clamp,确定性闪避判定阈值
shield_gain_permille,护盾获得,防御,permille,1000,0,10000,‰,flat_percent_multiplier_override_clamp,所有获得护盾效果的倍率
healing_taken_permille,受疗倍率,防御,permille,1000,0,10000,‰,flat_percent_multiplier_override_clamp,所有受到治疗效果的倍率
status_resist_permille,状态抗性,防御,permille,0,0,1000,‰,flat_percent_multiplier_override_clamp,负面状态命中抵抗阈值
control_resist_permille,控制抗性,防御,permille,0,0,1000,‰,flat_percent_multiplier_override_clamp,控制类状态命中抵抗阈值
neutral_resist_permille,无系抗性,元素抗性,permille,0,-1000,1000,‰,flat_percent_multiplier_override_clamp,对无属性效果的抗性
fire_resist_permille,火系抗性,元素抗性,permille,0,-1000,1000,‰,flat_percent_multiplier_override_clamp,对火属性效果的抗性
water_resist_permille,水系抗性,元素抗性,permille,0,-1000,1000,‰,flat_percent_multiplier_override_clamp,对水属性效果的抗性
grass_resist_permille,草系抗性,元素抗性,permille,0,-1000,1000,‰,flat_percent_multiplier_override_clamp,对草属性效果的抗性
electric_resist_permille,雷系抗性,元素抗性,permille,0,-1000,1000,‰,flat_percent_multiplier_override_clamp,对雷属性效果的抗性
ice_resist_permille,冰系抗性,元素抗性,permille,0,-1000,1000,‰,flat_percent_multiplier_override_clamp,对冰属性效果的抗性
ground_resist_permille,地系抗性,元素抗性,permille,0,-1000,1000,‰,flat_percent_multiplier_override_clamp,对地属性效果的抗性
dark_resist_permille,暗系抗性,元素抗性,permille,0,-1000,1000,‰,flat_percent_multiplier_override_clamp,对暗属性效果的抗性
