item_id,name_zh,tags,slot_width,availability,base_quality,quality,buy_price,sell_price,activation_mode,cooldown_ticks,crit_chance_bps,ammo_enabled,ammo_initial,ammo_maximum,item_skill_id,starter_instance_id,starter_location,starter_start_slot,catalog_status
item_brine_cannon,盐雾炮,"ammo, weapon",3,run_acquirable,bronze,bronze,6,3,cooldown,6,0,true,2,2,skill_brine_cannon,starter_brine_cannon,board,0,formal
item_brine_cannon,盐雾炮,"ammo, weapon",3,run_acquirable,bronze,silver,9,4,cooldown,5,0,true,3,3,skill_brine_cannon,,,,formal
item_brine_cannon,盐雾炮,"ammo, weapon",3,run_acquirable,bronze,gold,13,6,cooldown,4,0,true,3,4,skill_brine_cannon,,,,formal
item_brine_cannon,盐雾炮,"ammo, weapon",3,run_acquirable,bronze,diamond,18,9,cooldown,3,0,true,4,5,skill_brine_cannon,,,,formal
item_patchwork_ram,拼板冲角,"vehicle, weapon",2,run_acquirable,bronze,bronze,4,2,cooldown,5,0,false,0,0,skill_patchwork_ram,starter_patchwork_ram,stash,,formal
item_patchwork_ram,拼板冲角,"vehicle, weapon",2,run_acquirable,bronze,silver,7,3,cooldown,4,0,false,0,0,skill_patchwork_ram,,,,formal
item_patchwork_ram,拼板冲角,"vehicle, weapon",2,run_acquirable,bronze,gold,10,5,cooldown,3,0,false,0,0,skill_patchwork_ram,,,,formal
item_patchwork_ram,拼板冲角,"vehicle, weapon",2,run_acquirable,bronze,diamond,14,7,cooldown,2,0,false,0,0,skill_patchwork_ram,,,,formal
item_signal_flare,星火信标,"ammo, tool",1,run_acquirable,silver,silver,6,3,cooldown,4,0,true,1,1,skill_signal_flare,,,,formal
item_signal_flare,星火信标,"ammo, tool",1,run_acquirable,silver,gold,9,4,cooldown,3,0,true,2,2,skill_signal_flare,,,,formal
item_signal_flare,星火信标,"ammo, tool",1,run_acquirable,silver,diamond,13,6,cooldown,2,0,true,2,3,skill_signal_flare,,,,formal
item_reef_hook,暗礁钩,"tool, weapon",1,run_acquirable,bronze,bronze,3,1,cooldown,4,0,false,0,0,skill_reef_hook,starter_reef_hook,board,3,formal
item_reef_hook,暗礁钩,"tool, weapon",1,run_acquirable,bronze,silver,5,2,cooldown,3,0,false,0,0,skill_reef_hook,,,,formal
item_reef_hook,暗礁钩,"tool, weapon",1,run_acquirable,bronze,gold,8,4,cooldown,3,0,false,0,0,skill_reef_hook,,,,formal
item_reef_hook,暗礁钩,"tool, weapon",1,run_acquirable,bronze,diamond,12,6,cooldown,2,0,false,0,0,skill_reef_hook,,,,formal
item_storm_compass,风暴罗盘,"relic, tool",2,run_acquirable,gold,gold,11,5,cooldown,4,0,false,0,0,skill_storm_compass,,,,formal
item_storm_compass,风暴罗盘,"relic, tool",2,run_acquirable,gold,diamond,16,8,cooldown,3,0,false,0,0,skill_storm_compass,,,,formal
item_abyss_bell,深潮钟,"ammo, relic",1,run_acquirable,diamond,diamond,20,10,cooldown,3,0,true,1,1,skill_abyss_bell,,,,formal
item_wake_echo_drum,尾潮回响鼓,"relic, weapon",2,run_acquirable,bronze,bronze,5,2,cooldown,6,0,false,0,0,skill_wake_echo_drum,,,,formal
item_wake_echo_drum,尾潮回响鼓,"relic, weapon",2,run_acquirable,bronze,silver,8,4,cooldown,5,0,false,0,0,skill_wake_echo_drum,,,,formal
item_wake_echo_drum,尾潮回响鼓,"relic, weapon",2,run_acquirable,bronze,gold,12,6,cooldown,4,0,false,0,0,skill_wake_echo_drum,,,,formal
item_wake_echo_drum,尾潮回响鼓,"relic, weapon",2,run_acquirable,bronze,diamond,17,8,cooldown,3,0,false,0,0,skill_wake_echo_drum,,,,formal
item_saltwind_capstan,盐风绞盘,"tool, vehicle",2,run_acquirable,bronze,bronze,4,2,cooldown,7,0,false,0,0,skill_saltwind_capstan,,,,formal
