effect_id,item_id,quality,item_skill_id,priority,trigger_event,condition_type,condition_tags,condition_source_relation,target_type,operation_type,amount,status,ticks,catalog_status
effect_brine_cannon_bronze_hit,item_brine_cannon,bronze,skill_brine_cannon,20,item_ready,always,,any,selected_enemy,deal_damage,6,,,formal
effect_brine_cannon_silver_hit,item_brine_cannon,silver,skill_brine_cannon,20,item_ready,always,,any,selected_enemy,deal_damage,9,,,formal
effect_brine_cannon_gold_hit,item_brine_cannon,gold,skill_brine_cannon,20,item_ready,always,,any,selected_enemy,deal_damage,13,,,formal
effect_brine_cannon_diamond_hit,item_brine_cannon,diamond,skill_brine_cannon,20,item_ready,always,,any,selected_enemy,deal_damage,18,,,formal
effect_patchwork_ram_bronze_hit,item_patchwork_ram,bronze,skill_patchwork_ram,30,item_ready,always,,any,selected_enemy,deal_damage,3,,,formal
effect_patchwork_ram_bronze_charge,item_patchwork_ram,bronze,skill_patchwork_ram,31,item_ready,always,,any,self_item,charge,,,1,formal
effect_patchwork_ram_silver_hit,item_patchwork_ram,silver,skill_patchwork_ram,30,item_ready,always,,any,selected_enemy,deal_damage,5,,,formal
effect_patchwork_ram_silver_charge,item_patchwork_ram,silver,skill_patchwork_ram,31,item_ready,always,,any,self_item,charge,,,1,formal
effect_patchwork_ram_gold_hit,item_patchwork_ram,gold,skill_patchwork_ram,30,item_ready,always,,any,selected_enemy,deal_damage,8,,,formal
effect_patchwork_ram_gold_charge,item_patchwork_ram,gold,skill_patchwork_ram,31,item_ready,always,,any,self_item,charge,,,1,formal
effect_patchwork_ram_diamond_hit,item_patchwork_ram,diamond,skill_patchwork_ram,30,item_ready,always,,any,selected_enemy,deal_damage,12,,,formal
effect_patchwork_ram_diamond_charge,item_patchwork_ram,diamond,skill_patchwork_ram,31,item_ready,always,,any,self_item,charge,,,1,formal
effect_signal_flare_silver_hit,item_signal_flare,silver,skill_signal_flare,10,item_ready,always,,any,selected_enemy,deal_damage,5,,,formal
effect_signal_flare_silver_haste,item_signal_flare,silver,skill_signal_flare,11,item_ready,always,,any,self_item,apply_status,,haste,2,formal
effect_signal_flare_gold_hit,item_signal_flare,gold,skill_signal_flare,10,item_ready,always,,any,selected_enemy,deal_damage,8,,,formal
effect_signal_flare_gold_haste,item_signal_flare,gold,skill_signal_flare,11,item_ready,always,,any,self_item,apply_status,,haste,2,formal
effect_signal_flare_diamond_hit,item_signal_flare,diamond,skill_signal_flare,10,item_ready,always,,any,selected_enemy,deal_damage,12,,,formal
effect_signal_flare_diamond_haste,item_signal_flare,diamond,skill_signal_flare,11,item_ready,always,,any,self_item,apply_status,,haste,2,formal
effect_reef_hook_bronze_hit,item_reef_hook,bronze,skill_reef_hook,15,item_ready,always,,any,selected_enemy,deal_damage,4,,,formal
effect_reef_hook_bronze_slow,item_reef_hook,bronze,skill_reef_hook,16,item_ready,always,,any,first_enemy_item,apply_status,,slow,2,formal
effect_reef_hook_silver_hit,item_reef_hook,silver,skill_reef_hook,15,item_ready,always,,any,selected_enemy,deal_damage,6,,,formal
effect_reef_hook_silver_slow,item_reef_hook,silver,skill_reef_hook,16,item_ready,always,,any,first_enemy_item,apply_status,,slow,2,formal
effect_reef_hook_gold_hit,item_reef_hook,gold,skill_reef_hook,15,item_ready,always,,any,selected_enemy,deal_damage,9,,,formal
effect_reef_hook_gold_slow,item_reef_hook,gold,skill_reef_hook,16,item_ready,always,,any,first_enemy_item,apply_status,,slow,2,formal
effect_reef_hook_diamond_hit,item_reef_hook,diamond,skill_reef_hook,15,item_ready,always,,any,selected_enemy,deal_damage,13,,,formal
effect_reef_hook_diamond_slow,item_reef_hook,diamond,skill_reef_hook,16,item_ready,always,,any,first_enemy_item,apply_status,,slow,2,formal
effect_storm_compass_gold_hit,item_storm_compass,gold,skill_storm_compass,20,item_ready,always,,any,selected_enemy,deal_damage,10,,,formal
effect_storm_compass_gold_freeze,item_storm_compass,gold,skill_storm_compass,21,item_ready,always,,any,first_enemy_item,apply_status,,freeze,1,formal
effect_storm_compass_diamond_hit,item_storm_compass,diamond,skill_storm_compass,20,item_ready,always,,any,selected_enemy,deal_damage,15,,,formal
effect_storm_compass_diamond_freeze,item_storm_compass,diamond,skill_storm_compass,21,item_ready,always,,any,first_enemy_item,apply_status,,freeze,1,formal
effect_abyss_bell_diamond_hit,item_abyss_bell,diamond,skill_abyss_bell,5,item_ready,always,,any,selected_enemy,deal_damage,20,,,formal
effect_abyss_bell_diamond_reload,item_abyss_bell,diamond,skill_abyss_bell,6,item_ready,always,,any,self_item,reload,1,,,formal
effect_wake_echo_drum_bronze_ready,item_wake_echo_drum,bronze,skill_wake_echo_drum,20,item_ready,always,,any,selected_enemy,deal_damage,2,,,formal
effect_wake_echo_drum_bronze_response,item_wake_echo_drum,bronze,skill_wake_echo_drum,30,another_friendly_item_used,source_item_has_any_tag,"ammo, weapon",any,selected_enemy,deal_damage,2,,,formal
effect_wake_echo_drum_silver_ready,item_wake_echo_drum,silver,skill_wake_echo_drum,20,item_ready,always,,any,selected_enemy,deal_damage,3,,,formal
effect_wake_echo_drum_silver_response,item_wake_echo_drum,silver,skill_wake_echo_drum,30,another_friendly_item_used,source_item_has_any_tag,"ammo, weapon",any,selected_enemy,deal_damage,3,,,formal
effect_wake_echo_drum_gold_ready,item_wake_echo_drum,gold,skill_wake_echo_drum,20,item_ready,always,,any,selected_enemy,deal_damage,5,,,formal
effect_wake_echo_drum_gold_response,item_wake_echo_drum,gold,skill_wake_echo_drum,30,another_friendly_item_used,source_item_has_any_tag,"ammo, weapon",any,selected_enemy,deal_damage,5,,,formal
effect_wake_echo_drum_diamond_ready,item_wake_echo_drum,diamond,skill_wake_echo_drum,20,item_ready,always,,any,selected_enemy,deal_damage,7,,,formal
effect_wake_echo_drum_diamond_response,item_wake_echo_drum,diamond,skill_wake_echo_drum,30,another_friendly_item_used,source_item_has_any_tag,"ammo, weapon",any,selected_enemy,deal_damage,8,,,formal
effect_saltwind_capstan_bronze_ready,item_saltwind_capstan,bronze,skill_saltwind_capstan,20,item_ready,always,,any,selected_enemy,deal_damage,2,,,formal
effect_saltwind_capstan_bronze_response,item_saltwind_capstan,bronze,skill_saltwind_capstan,30,another_friendly_item_used,source_item_has_any_tag,tool,any,self_item,charge,,,1,formal
effect_saltwind_capstan_silver_ready,item_saltwind_capstan,silver,skill_saltwind_capstan,20,item_ready,always,,any,selected_enemy,deal_damage,4,,,formal
effect_saltwind_capstan_silver_response,item_saltwind_capstan,silver,skill_saltwind_capstan,30,another_friendly_item_used,source_item_has_any_tag,tool,any,self_item,charge,,,1,formal
effect_saltwind_capstan_gold_ready,item_saltwind_capstan,gold,skill_saltwind_capstan,20,item_ready,always,,any,selected_enemy,deal_damage,6,,,formal
effect_saltwind_capstan_gold_response,item_saltwind_capstan,gold,skill_saltwind_capstan,30,another_friendly_item_used,source_item_has_any_tag,tool,any,self_item,charge,,,2,formal
effect_saltwind_capstan_diamond_ready,item_saltwind_capstan,diamond,skill_saltwind_capstan,20,item_ready,always,,any,selected_enemy,deal_damage,9,,,formal
effect_saltwind_capstan_diamond_response,item_saltwind_capstan,diamond,skill_saltwind_capstan,30,another_friendly_item_used,source_item_has_any_tag,tool,any,self_item,charge,,,2,formal
effect_tidefin_launcher_bronze_ready,item_tidefin_launcher,bronze,skill_tidefin_launcher,20,item_ready,always,,any,selected_enemy,deal_damage,1,,,formal
effect_tidefin_launcher_bronze_response,item_tidefin_launcher,bronze,skill_tidefin_launcher,30,another_friendly_item_used,source_item_has_any_tag,aquatic,any,self_item,reload,1,,,formal
effect_tidefin_launcher_silver_ready,item_tidefin_launcher,silver,skill_tidefin_launcher,20,item_ready,always,,any,selected_enemy,deal_damage,2,,,formal
effect_tidefin_launcher_silver_response,item_tidefin_launcher,silver,skill_tidefin_launcher,30,another_friendly_item_used,source_item_has_any_tag,aquatic,any,self_item,reload,1,,,formal
