encounter_id,name_zh,day,hour,kind,enemy_id,snapshot_id,reward_id,catalog_status
encounter_day_01_breakwater_patrol,第一日折浪巡艇,1,3,pve,enemy_breakwater_raider,,reward_pve_patrol,formal
encounter_day_01_mirror_skiff,第一日镜潮轻舟,1,6,ghost,,ghost_snapshot_day_01,reward_ghost_skirmish,formal
encounter_day_02_breakwater_patrol,第二日折浪巡艇,2,3,pve,enemy_breakwater_raider,,reward_pve_patrol,formal
encounter_day_02_mirror_skiff,第二日镜潮轻舟,2,6,ghost,,ghost_snapshot_day_02,reward_ghost_skirmish,formal
encounter_day_03_breakwater_patrol,第三日折浪巡艇,3,3,pve,enemy_breakwater_raider,,reward_pve_patrol,formal
encounter_day_03_mirror_skiff,第三日镜潮轻舟,3,6,ghost,,ghost_snapshot_day_03,reward_ghost_skirmish,formal
encounter_day_04_breakwater_patrol,第四日折浪巡艇,4,3,pve,enemy_breakwater_raider,,reward_pve_patrol,formal
encounter_day_04_mirror_skiff,第四日镜潮轻舟,4,6,ghost,,ghost_snapshot_day_04,reward_ghost_skirmish,formal
encounter_day_05_breakwater_patrol,第五日折浪巡艇,5,3,pve,enemy_breakwater_raider,,reward_pve_patrol,formal
encounter_day_05_mirror_skiff,第五日镜潮轻舟,5,6,ghost,,ghost_snapshot_day_05,reward_ghost_skirmish,formal
encounter_day_06_breakwater_patrol,第六日折浪巡艇,6,3,pve,enemy_breakwater_raider,,reward_pve_patrol,formal
encounter_day_06_mirror_skiff,第六日镜潮轻舟,6,6,ghost,,ghost_snapshot_day_06,reward_ghost_skirmish,formal
encounter_day_07_breakwater_patrol,第七日折浪巡艇,7,3,pve,enemy_breakwater_raider,,reward_pve_patrol,formal
encounter_day_07_mirror_skiff,第七日镜潮轻舟,7,6,ghost,,ghost_snapshot_day_07,reward_ghost_skirmish,formal
encounter_day_08_breakwater_patrol,第八日折浪巡艇,8,3,pve,enemy_breakwater_raider,,reward_pve_patrol,formal
encounter_day_08_mirror_skiff,第八日镜潮轻舟,8,6,ghost,,ghost_snapshot_day_08,reward_ghost_skirmish,formal
encounter_day_09_breakwater_patrol,第九日折浪巡艇,9,3,pve,enemy_breakwater_raider,,reward_pve_patrol,formal
encounter_day_09_mirror_skiff,第九日镜潮轻舟,9,6,ghost,,ghost_snapshot_day_09,reward_ghost_skirmish,formal
encounter_day_10_breakwater_patrol,第十日折浪巡艇,10,3,pve,enemy_breakwater_raider,,reward_pve_patrol,formal
encounter_day_10_mirror_skiff,第十日镜潮轻舟,10,6,ghost,,ghost_snapshot_day_10,reward_ghost_skirmish,formal
