reward_id,name_zh,reward_type,amount,item_id,quality,unlock_level,required_xp,description_zh,catalog_status
reward_level_2,二级航程补给,level,1,,,2,4,达到二级时记录一次正式成长奖励。,formal
reward_level_3,三级航程补给,level,1,,,3,8,达到三级时记录一次正式成长奖励。,formal
reward_pve_patrol,巡艇战利金,currency,4,,,,,击败折浪巡艇后获得的本地原创战利金。,formal
reward_ghost_skirmish,镜潮战利金,currency,6,,,,,赢下镜潮轻舟战后获得的本地原创战利金。,formal
reward_ration_crate,防潮口粮箱,currency,3,,,,,整理后可以折算为三枚补给金币。,formal
reward_coin_pouch,旧帆钱袋,currency,2,,,,,旧帆布缝成的钱袋里装着两枚金币。,formal
reward_hull_plating,漂木护板,currency,4,,,,,当前执行层先以四枚补给金币表示船壳修整收益。,formal
reward_sailcloth_patch,加固帆布包,item,1,item_patchwork_ram,bronze,,,获得一件青铜品质的拼板冲角。,formal
reward_signal_flare,备用星火筒,item,1,item_signal_flare,silver,,,获得一件白银品质的星火信标。,formal
reward_storm_compass,风眼罗盘匣,item,1,item_storm_compass,gold,,,获得一件黄金品质的风暴罗盘。,formal
