upgrade_id,item_id,from_quality,to_quality,price,source_stall_id,catalog_status
upgrade_brine_cannon_bronze_silver,item_brine_cannon,bronze,silver,5,stall_mistwake,formal
upgrade_brine_cannon_silver_gold,item_brine_cannon,silver,gold,8,stall_mistwake,formal
upgrade_brine_cannon_gold_diamond,item_brine_cannon,gold,diamond,12,stall_mistwake,formal
upgrade_patchwork_ram_bronze_silver,item_patchwork_ram,bronze,silver,4,stall_mistwake,formal
upgrade_patchwork_ram_silver_gold,item_patchwork_ram,silver,gold,7,stall_mistwake,formal
upgrade_patchwork_ram_gold_diamond,item_patchwork_ram,gold,diamond,10,stall_mistwake,formal
upgrade_signal_flare_silver_gold,item_signal_flare,silver,gold,7,stall_mistwake,formal
upgrade_signal_flare_gold_diamond,item_signal_flare,gold,diamond,10,stall_mistwake,formal
upgrade_reef_hook_bronze_silver,item_reef_hook,bronze,silver,4,stall_mistwake,formal
upgrade_reef_hook_silver_gold,item_reef_hook,silver,gold,7,stall_mistwake,formal
upgrade_reef_hook_gold_diamond,item_reef_hook,gold,diamond,10,stall_mistwake,formal
upgrade_storm_compass_gold_diamond,item_storm_compass,gold,diamond,11,stall_mistwake,formal
upgrade_wake_echo_drum_bronze_silver,item_wake_echo_drum,bronze,silver,4,stall_mistwake,formal
upgrade_wake_echo_drum_silver_gold,item_wake_echo_drum,silver,gold,7,stall_mistwake,formal
upgrade_wake_echo_drum_gold_diamond,item_wake_echo_drum,gold,diamond,11,stall_mistwake,formal
upgrade_saltwind_capstan_bronze_silver,item_saltwind_capstan,bronze,silver,4,stall_mistwake,formal
upgrade_saltwind_capstan_silver_gold,item_saltwind_capstan,silver,gold,6,stall_mistwake,formal
upgrade_saltwind_capstan_gold_diamond,item_saltwind_capstan,gold,diamond,9,stall_mistwake,formal
upgrade_tidefin_launcher_bronze_silver,item_tidefin_launcher,bronze,silver,3,stall_mistwake,formal
upgrade_tidefin_launcher_silver_gold,item_tidefin_launcher,silver,gold,5,stall_mistwake,formal
upgrade_tidefin_launcher_gold_diamond,item_tidefin_launcher,gold,diamond,8,stall_mistwake,formal
upgrade_mistkelp_remedy_kit_bronze_silver,item_mistkelp_remedy_kit,bronze,silver,4,stall_mistwake,formal
upgrade_mistkelp_remedy_kit_silver_gold,item_mistkelp_remedy_kit,silver,gold,6,stall_mistwake,formal
upgrade_mistkelp_remedy_kit_gold_diamond,item_mistkelp_remedy_kit,gold,diamond,9,stall_mistwake,formal
upgrade_tidefold_bulwark_bronze_silver,item_tidefold_bulwark,bronze,silver,4,stall_mistwake,formal
upgrade_tidefold_bulwark_silver_gold,item_tidefold_bulwark,silver,gold,7,stall_mistwake,formal
upgrade_tidefold_bulwark_gold_diamond,item_tidefold_bulwark,gold,diamond,11,stall_mistwake,formal
upgrade_homeglow_beacon_bronze_silver,item_homeglow_beacon,bronze,silver,5,stall_mistwake,formal
upgrade_homeglow_beacon_silver_gold,item_homeglow_beacon,silver,gold,8,stall_mistwake,formal
upgrade_homeglow_beacon_gold_diamond,item_homeglow_beacon,gold,diamond,12,stall_mistwake,formal
upgrade_tidescar_matchlock_bronze_silver,item_tidescar_matchlock,bronze,silver,4,stall_mistwake,formal
upgrade_tidescar_matchlock_silver_gold,item_tidescar_matchlock,silver,gold,7,stall_mistwake,formal
upgrade_tidescar_matchlock_gold_diamond,item_tidescar_matchlock,gold,diamond,11,stall_mistwake,formal
