schema,schema_version,snapshot_id,match_source,opponent_content_revision,hero_id,hero_level,hero_hp,hero_max_hp,instance_id,item_id,quality,enchantment,start_slot,catalog_status
ysbzs.original-pirate-ghost-snapshot.v1,2,ghost_snapshot_day_01,offline_content,original-pirate-bootstrap-content-2026-09-05-v35,hero_mistwake_captain,1,30,30,ghost_d01_emberwake,item_emberwake_lantern,silver,,2,formal
ysbzs.original-pirate-ghost-snapshot.v1,2,ghost_snapshot_day_01,offline_content,original-pirate-bootstrap-content-2026-09-05-v35,hero_mistwake_captain,1,30,30,ghost_d01_inkwake,item_inkwake_doser,bronze,,3,formal
ysbzs.original-pirate-ghost-snapshot.v1,2,ghost_snapshot_day_02,offline_content,original-pirate-bootstrap-content-2026-09-05-v35,hero_mistwake_captain,1,32,32,ghost_d02_ram,item_patchwork_ram,silver,,0,formal
ysbzs.original-pirate-ghost-snapshot.v1,2,ghost_snapshot_day_02,offline_content,original-pirate-bootstrap-content-2026-09-05-v35,hero_mistwake_captain,1,32,32,ghost_d02_flare,item_signal_flare,silver,,2,formal
ysbzs.original-pirate-ghost-snapshot.v1,2,ghost_snapshot_day_03,offline_content,original-pirate-bootstrap-content-2026-09-05-v35,hero_mistwake_captain,1,34,34,ghost_d03_ram,item_patchwork_ram,silver,,0,formal
ysbzs.original-pirate-ghost-snapshot.v1,2,ghost_snapshot_day_03,offline_content,original-pirate-bootstrap-content-2026-09-05-v35,hero_mistwake_captain,1,34,34,ghost_d03_flare,item_signal_flare,silver,,2,formal
ysbzs.original-pirate-ghost-snapshot.v1,2,ghost_snapshot_day_04,offline_content,original-pirate-bootstrap-content-2026-09-05-v35,hero_mistwake_captain,2,36,36,ghost_d04_ram,item_patchwork_ram,gold,,0,formal
ysbzs.original-pirate-ghost-snapshot.v1,2,ghost_snapshot_day_04,offline_content,original-pirate-bootstrap-content-2026-09-05-v35,hero_mistwake_captain,2,36,36,ghost_d04_flare,item_signal_flare,gold,,2,formal
ysbzs.original-pirate-ghost-snapshot.v1,2,ghost_snapshot_day_05,offline_content,original-pirate-bootstrap-content-2026-09-05-v35,hero_mistwake_captain,2,38,38,ghost_d05_ram,item_patchwork_ram,gold,,0,formal
ysbzs.original-pirate-ghost-snapshot.v1,2,ghost_snapshot_day_05,offline_content,original-pirate-bootstrap-content-2026-09-05-v35,hero_mistwake_captain,2,38,38,ghost_d05_flare,item_signal_flare,gold,,2,formal
ysbzs.original-pirate-ghost-snapshot.v1,2,ghost_snapshot_day_06,offline_content,original-pirate-bootstrap-content-2026-09-05-v35,hero_mistwake_captain,2,40,40,ghost_d06_ram,item_patchwork_ram,gold,,0,formal
ysbzs.original-pirate-ghost-snapshot.v1,2,ghost_snapshot_day_06,offline_content,original-pirate-bootstrap-content-2026-09-05-v35,hero_mistwake_captain,2,40,40,ghost_d06_flare,item_signal_flare,gold,,2,formal
ysbzs.original-pirate-ghost-snapshot.v1,2,ghost_snapshot_day_07,offline_content,original-pirate-bootstrap-content-2026-09-05-v35,hero_mistwake_captain,3,42,42,ghost_d07_ram,item_patchwork_ram,gold,,0,formal
ysbzs.original-pirate-ghost-snapshot.v1,2,ghost_snapshot_day_07,offline_content,original-pirate-bootstrap-content-2026-09-05-v35,hero_mistwake_captain,3,42,42,ghost_d07_flare,item_signal_flare,gold,,2,formal
ysbzs.original-pirate-ghost-snapshot.v1,2,ghost_snapshot_day_08,offline_content,original-pirate-bootstrap-content-2026-09-05-v35,hero_mistwake_captain,3,44,44,ghost_d08_ram,item_patchwork_ram,diamond,,0,formal
ysbzs.original-pirate-ghost-snapshot.v1,2,ghost_snapshot_day_08,offline_content,original-pirate-bootstrap-content-2026-09-05-v35,hero_mistwake_captain,3,44,44,ghost_d08_flare,item_signal_flare,diamond,,2,formal
ysbzs.original-pirate-ghost-snapshot.v1,2,ghost_snapshot_day_09,offline_content,original-pirate-bootstrap-content-2026-09-05-v35,hero_mistwake_captain,3,46,46,ghost_d09_ram,item_patchwork_ram,diamond,,0,formal
ysbzs.original-pirate-ghost-snapshot.v1,2,ghost_snapshot_day_09,offline_content,original-pirate-bootstrap-content-2026-09-05-v35,hero_mistwake_captain,3,46,46,ghost_d09_flare,item_signal_flare,diamond,,2,formal
ysbzs.original-pirate-ghost-snapshot.v1,2,ghost_snapshot_day_10,offline_content,original-pirate-bootstrap-content-2026-09-05-v35,hero_mistwake_captain,4,48,48,ghost_d10_ram,item_patchwork_ram,diamond,,0,formal
ysbzs.original-pirate-ghost-snapshot.v1,2,ghost_snapshot_day_10,offline_content,original-pirate-bootstrap-content-2026-09-05-v35,hero_mistwake_captain,4,48,48,ghost_d10_flare,item_signal_flare,diamond,,2,formal
