mapping_id,mapping_schema,mapping_schema_version,acceptance,source_data_commit,mapping_sha256,provenance_sha256,source_db_sha256,source_object_uuid,source_internal_name,item_id,quality,cooldown_max_milliseconds,multicast,haste_amount_milliseconds,charge_amount_milliseconds,charge_targets,shield_apply_amount,source_ability_id,source_trigger_type,mapped_trigger_event,trigger_priority,effect_order,target_type,target_exclude_self,target_condition_attribute,target_condition_operator,target_condition_value,subject_type,subject_target_mode,subject_include_origin,operation_type,status,ticks,unknown_source_fields,excluded_scopes,catalog_status
water_wheel,ysbzs.original-pirate-source-effect-mapping-candidate.v1,1,source_effect_mapping_only_not_complete_item,21d57c2415690992631c6c4e1607e10ddcf06a24,d1b8812853d4eb182d781fef683bf8c89a384848196123f2e92560b25727c8de,1015faefd611e535fc7bccefcc55a318c8681484a15c81a6fe642be349729ee7,7d8df658ebce967edf59ab8d0c889fa266f56917b87336928694cdce54246ee9,d8106a24-647f-40c6-8587-22f977931d76,Water Wheel,item_bazaar_water_wheel,silver,8000,1,2000,2000,1,,0,TTriggerOnCardFired,item_ready,High,0,self_hand_section,true,CooldownMax,GreaterThan,0,,,,apply_status,haste,40,"initialCooldownProgress,hasteReapplicationPolicy,same_priority_tie_break","enchantments,economy,acquisition,complete_initial_state,simultaneous_ready_order,complete_run_state,top_three_identity",formal
water_wheel,ysbzs.original-pirate-source-effect-mapping-candidate.v1,1,source_effect_mapping_only_not_complete_item,21d57c2415690992631c6c4e1607e10ddcf06a24,d1b8812853d4eb182d781fef683bf8c89a384848196123f2e92560b25727c8de,1015faefd611e535fc7bccefcc55a318c8681484a15c81a6fe642be349729ee7,7d8df658ebce967edf59ab8d0c889fa266f56917b87336928694cdce54246ee9,d8106a24-647f-40c6-8587-22f977931d76,Water Wheel,item_bazaar_water_wheel,silver,8000,1,2000,2000,1,,1,TTriggerOnItemUsed,another_friendly_item_used,Medium,0,self,,,,,self_positional,Neighbor,false,charge,,40,"initialCooldownProgress,hasteReapplicationPolicy,same_priority_tie_break","enchantments,economy,acquisition,complete_initial_state,simultaneous_ready_order,complete_run_state,top_three_identity",formal
water_wheel,ysbzs.original-pirate-source-effect-mapping-candidate.v1,1,source_effect_mapping_only_not_complete_item,21d57c2415690992631c6c4e1607e10ddcf06a24,d1b8812853d4eb182d781fef683bf8c89a384848196123f2e92560b25727c8de,1015faefd611e535fc7bccefcc55a318c8681484a15c81a6fe642be349729ee7,7d8df658ebce967edf59ab8d0c889fa266f56917b87336928694cdce54246ee9,d8106a24-647f-40c6-8587-22f977931d76,Water Wheel,item_bazaar_water_wheel,gold,7000,1,2000,2000,1,,0,TTriggerOnCardFired,item_ready,High,0,self_hand_section,true,CooldownMax,GreaterThan,0,,,,apply_status,haste,40,"initialCooldownProgress,hasteReapplicationPolicy,same_priority_tie_break","enchantments,economy,acquisition,complete_initial_state,simultaneous_ready_order,complete_run_state,top_three_identity",formal
water_wheel,ysbzs.original-pirate-source-effect-mapping-candidate.v1,1,source_effect_mapping_only_not_complete_item,21d57c2415690992631c6c4e1607e10ddcf06a24,d1b8812853d4eb182d781fef683bf8c89a384848196123f2e92560b25727c8de,1015faefd611e535fc7bccefcc55a318c8681484a15c81a6fe642be349729ee7,7d8df658ebce967edf59ab8d0c889fa266f56917b87336928694cdce54246ee9,d8106a24-647f-40c6-8587-22f977931d76,Water Wheel,item_bazaar_water_wheel,gold,7000,1,2000,2000,1,,1,TTriggerOnItemUsed,another_friendly_item_used,Medium,0,self,,,,,self_positional,Neighbor,false,charge,,40,"initialCooldownProgress,hasteReapplicationPolicy,same_priority_tie_break","enchantments,economy,acquisition,complete_initial_state,simultaneous_ready_order,complete_run_state,top_three_identity",formal
water_wheel,ysbzs.original-pirate-source-effect-mapping-candidate.v1,1,source_effect_mapping_only_not_complete_item,21d57c2415690992631c6c4e1607e10ddcf06a24,d1b8812853d4eb182d781fef683bf8c89a384848196123f2e92560b25727c8de,1015faefd611e535fc7bccefcc55a318c8681484a15c81a6fe642be349729ee7,7d8df658ebce967edf59ab8d0c889fa266f56917b87336928694cdce54246ee9,d8106a24-647f-40c6-8587-22f977931d76,Water Wheel,item_bazaar_water_wheel,diamond,6000,1,2000,2000,1,,0,TTriggerOnCardFired,item_ready,High,0,self_hand_section,true,CooldownMax,GreaterThan,0,,,,apply_status,haste,40,"initialCooldownProgress,hasteReapplicationPolicy,same_priority_tie_break","enchantments,economy,acquisition,complete_initial_state,simultaneous_ready_order,complete_run_state,top_three_identity",formal
water_wheel,ysbzs.original-pirate-source-effect-mapping-candidate.v1,1,source_effect_mapping_only_not_complete_item,21d57c2415690992631c6c4e1607e10ddcf06a24,d1b8812853d4eb182d781fef683bf8c89a384848196123f2e92560b25727c8de,1015faefd611e535fc7bccefcc55a318c8681484a15c81a6fe642be349729ee7,7d8df658ebce967edf59ab8d0c889fa266f56917b87336928694cdce54246ee9,d8106a24-647f-40c6-8587-22f977931d76,Water Wheel,item_bazaar_water_wheel,diamond,6000,1,2000,2000,1,,1,TTriggerOnItemUsed,another_friendly_item_used,Medium,0,self,,,,,self_positional,Neighbor,false,charge,,40,"initialCooldownProgress,hasteReapplicationPolicy,same_priority_tie_break","enchantments,economy,acquisition,complete_initial_state,simultaneous_ready_order,complete_run_state,top_three_identity",formal
pearl,ysbzs.original-pirate-source-effect-mapping-candidate.v1,1,source_effect_mapping_only_not_complete_item,fa3eaee9e2a599861fb8bf0ba0fe1c1ba0ac30f5,0125a723133f49003f943b30a272d6946b80c590afecfad986a5d8a5bc8c982a,dab7c2932ce6166f923d0a5c3d890c83320d271e6eaa949f16bbcac1512f1c3f,7d8df658ebce967edf59ab8d0c889fa266f56917b87336928694cdce54246ee9,1312cf29-3dbb-446f-88b2-0d4999e68d78,Pearl,item_bazaar_pearl,bronze,5000,1,,1000,1,10,0,TTriggerOnCardFired,item_ready,Low,0,self_player,,,,,,,,gain_shield,,,"initialCooldownProgress,samePriorityCrossItemOrder,samePriorityAbilityOrder,cardFiredToItemUsedDispatchOrder,chargeCausedReadyReentrancy,shieldAndChargeSameTimestampOrder,multicastCardFiredPolicy,completeCritAndStatusInitialState","enchantment_execution,economy,acquisition,complete_initial_state,simultaneous_ready_order,complete_run_state,top_three_identity",formal
pearl,ysbzs.original-pirate-source-effect-mapping-candidate.v1,1,source_effect_mapping_only_not_complete_item,fa3eaee9e2a599861fb8bf0ba0fe1c1ba0ac30f5,0125a723133f49003f943b30a272d6946b80c590afecfad986a5d8a5bc8c982a,dab7c2932ce6166f923d0a5c3d890c83320d271e6eaa949f16bbcac1512f1c3f,7d8df658ebce967edf59ab8d0c889fa266f56917b87336928694cdce54246ee9,1312cf29-3dbb-446f-88b2-0d4999e68d78,Pearl,item_bazaar_pearl,bronze,5000,1,,1000,1,10,1,TTriggerOnItemUsed,another_friendly_item_used,Low,0,self,,Aquatic,Any,,self_hand_section,,false,charge,,20,"initialCooldownProgress,samePriorityCrossItemOrder,samePriorityAbilityOrder,cardFiredToItemUsedDispatchOrder,chargeCausedReadyReentrancy,shieldAndChargeSameTimestampOrder,multicastCardFiredPolicy,completeCritAndStatusInitialState","enchantment_execution,economy,acquisition,complete_initial_state,simultaneous_ready_order,complete_run_state,top_three_identity",formal
pearl,ysbzs.original-pirate-source-effect-mapping-candidate.v1,1,source_effect_mapping_only_not_complete_item,fa3eaee9e2a599861fb8bf0ba0fe1c1ba0ac30f5,0125a723133f49003f943b30a272d6946b80c590afecfad986a5d8a5bc8c982a,dab7c2932ce6166f923d0a5c3d890c83320d271e6eaa949f16bbcac1512f1c3f,7d8df658ebce967edf59ab8d0c889fa266f56917b87336928694cdce54246ee9,1312cf29-3dbb-446f-88b2-0d4999e68d78,Pearl,item_bazaar_pearl,silver,5000,1,,1000,1,20,0,TTriggerOnCardFired,item_ready,Low,0,self_player,,,,,,,,gain_shield,,,"initialCooldownProgress,samePriorityCrossItemOrder,samePriorityAbilityOrder,cardFiredToItemUsedDispatchOrder,chargeCausedReadyReentrancy,shieldAndChargeSameTimestampOrder,multicastCardFiredPolicy,completeCritAndStatusInitialState","enchantment_execution,economy,acquisition,complete_initial_state,simultaneous_ready_order,complete_run_state,top_three_identity",formal
pearl,ysbzs.original-pirate-source-effect-mapping-candidate.v1,1,source_effect_mapping_only_not_complete_item,fa3eaee9e2a599861fb8bf0ba0fe1c1ba0ac30f5,0125a723133f49003f943b30a272d6946b80c590afecfad986a5d8a5bc8c982a,dab7c2932ce6166f923d0a5c3d890c83320d271e6eaa949f16bbcac1512f1c3f,7d8df658ebce967edf59ab8d0c889fa266f56917b87336928694cdce54246ee9,1312cf29-3dbb-446f-88b2-0d4999e68d78,Pearl,item_bazaar_pearl,silver,5000,1,,1000,1,20,1,TTriggerOnItemUsed,another_friendly_item_used,Low,0,self,,Aquatic,Any,,self_hand_section,,false,charge,,20,"initialCooldownProgress,samePriorityCrossItemOrder,samePriorityAbilityOrder,cardFiredToItemUsedDispatchOrder,chargeCausedReadyReentrancy,shieldAndChargeSameTimestampOrder,multicastCardFiredPolicy,completeCritAndStatusInitialState","enchantment_execution,economy,acquisition,complete_initial_state,simultaneous_ready_order,complete_run_state,top_three_identity",formal
