seed,day,step,optionIndex,encounterId,encounterName,period,round,waveId,petId,name,element,quality,threat,pool,qualityWeights
ysbzs-local,1,3,1,enc_d01_midday_a,中午遭遇A,上午,1,wave_d01_morning,pal_001,棉悠悠,风,青铜,124.3,pal_001|pal_002|pal_003|pal_004|pal_005,青铜90/白银10/黄金0/钻石0
ysbzs-local,1,3,1,enc_d01_midday_a,中午遭遇A,上午,1,wave_d01_morning,pal_004,翠叶鼠,风,青铜,124.3,pal_001|pal_002|pal_003|pal_004|pal_005,青铜90/白银10/黄金0/钻石0
ysbzs-local,1,3,1,enc_d01_midday_a,中午遭遇A,上午,2,wave_d01_morning,pal_003,皮皮鸡,风,青铜,189,pal_001|pal_002|pal_003|pal_004|pal_005,青铜90/白银10/黄金0/钻石1
ysbzs-local,1,3,1,enc_d01_midday_a,中午遭遇A,上午,2,wave_d01_morning,pal_004,翠叶鼠,风,白银,189,pal_001|pal_002|pal_003|pal_004|pal_005,青铜90/白银10/黄金0/钻石1
ysbzs-local,1,3,1,enc_d01_midday_a,中午遭遇A,上午,2,wave_d01_morning,pal_002,捣蛋猫,风,青铜,189,pal_001|pal_002|pal_003|pal_004|pal_005,青铜90/白银10/黄金0/钻石1
ysbzs-local,1,3,1,enc_d01_midday_a,中午遭遇A,上午,3,wave_d01_morning,pal_002,捣蛋猫,风,青铜,255.4,pal_001|pal_002|pal_003|pal_004|pal_005,青铜90/白银10/黄金0/钻石2
ysbzs-local,1,3,1,enc_d01_midday_a,中午遭遇A,上午,3,wave_d01_morning,pal_005,火绒狐,火,青铜,255.4,pal_001|pal_002|pal_003|pal_004|pal_005,青铜90/白银10/黄金0/钻石2
ysbzs-local,1,3,1,enc_d01_midday_a,中午遭遇A,上午,3,wave_d01_morning,pal_001,棉悠悠,风,青铜,255.4,pal_001|pal_002|pal_003|pal_004|pal_005,青铜90/白银10/黄金0/钻石2
ysbzs-local,1,3,1,enc_d01_midday_a,中午遭遇A,上午,3,wave_d01_morning,pal_004,翠叶鼠,风,青铜,255.4,pal_001|pal_002|pal_003|pal_004|pal_005,青铜90/白银10/黄金0/钻石2
ysbzs-local,1,3,1,enc_d01_midday_a,中午遭遇A,上午,4,wave_d01_morning,pal_004,翠叶鼠,风,钻石,323.3,pal_001|pal_002|pal_003|pal_004|pal_005,青铜90/白银10/黄金0/钻石3
ysbzs-local,1,3,1,enc_d01_midday_a,中午遭遇A,上午,4,wave_d01_morning,pal_005,火绒狐,火,青铜,323.3,pal_001|pal_002|pal_003|pal_004|pal_005,青铜90/白银10/黄金0/钻石3
ysbzs-local,1,3,1,enc_d01_midday_a,中午遭遇A,上午,4,wave_d01_morning,pal_003,皮皮鸡,风,青铜,323.3,pal_001|pal_002|pal_003|pal_004|pal_005,青铜90/白银10/黄金0/钻石3
ysbzs-local,1,3,1,enc_d01_midday_a,中午遭遇A,上午,4,wave_d01_morning,pal_001,棉悠悠,风,青铜,323.3,pal_001|pal_002|pal_003|pal_004|pal_005,青铜90/白银10/黄金0/钻石3
ysbzs-local,1,3,1,enc_d01_midday_a,中午遭遇A,上午,4,wave_d01_morning,pal_002,捣蛋猫,风,青铜,323.3,pal_001|pal_002|pal_003|pal_004|pal_005,青铜90/白银10/黄金0/钻石3
ysbzs-local,1,3,1,enc_d01_midday_a,中午遭遇A,上午,5,wave_d01_morning,pal_003,皮皮鸡,风,钻石,392.8,pal_001|pal_002|pal_003|pal_004|pal_005,青铜90/白银10/黄金0/钻石4
