seed,day,step,stepLabel,optionIndex,optionId,optionName,sourceType,sourceName,poolId,petId,name,element,quality,price,cells,weight,tags
ysbzs-local,1,1,事件节点1,1,node_reward_pet,宠物奖励,reward_pet,宠物奖励,reward_pT1,pal_021,露娜蒂,土,青铜,,2,60,土、坦克、抗压承伤、防御、前排、阻挡
ysbzs-local,1,1,事件节点1,1,node_reward_pet,宠物奖励,reward_pet,宠物奖励,reward_pT1,pal_006,冲浪鸭,水,青铜,,2,60,水、毒伤牵制、后排、增益
ysbzs-local,1,1,事件节点1,2,node_shop_basic,夜市商人,shop_offer,夜市商人,night_base,pal_008,新叶猿,风,青铜,4,2,100,风、坦克、抗压承伤、防御、前排、阻挡
ysbzs-local,1,1,事件节点1,2,node_shop_basic,夜市商人,shop_offer,夜市商人,night_base,pal_014,玉藻狐,风,青铜,6,3,100,风、经济、风系铺场、召唤、发育
ysbzs-local,1,1,事件节点1,2,node_shop_basic,夜市商人,shop_offer,夜市商人,night_base,pal_034,棉花糖,风,青铜,2,1,100,风、经济、远点压制、召唤、发育
ysbzs-local,1,1,事件节点1,2,node_shop_basic,夜市商人,shop_offer,夜市商人,night_base,pal_035,灌木羊,风,青铜,2,1,100,风、召唤、召唤铺场、成长、核心
ysbzs-local,1,1,事件节点1,2,node_shop_basic,夜市商人,shop_offer,夜市商人,night_base,pal_009,燎火鹿,火,青铜,4,2,100,火、输出、火系压制、爆发、前排
ysbzs-local,1,1,事件节点1,2,node_shop_basic,夜市商人,shop_offer,夜市商人,night_base,pal_004,翠叶鼠,风,青铜,2,1,100,风、远点压制、后排、增益
ysbzs-local,1,1,事件节点1,3,node_shop_fire,火系补货商人,shop_offer,火系补货商人,elem_火,pal_005,火绒狐,火,青铜,4,2,100,火、抗压承伤、爆发、前排
ysbzs-local,1,1,事件节点1,3,node_shop_fire,火系补货商人,shop_offer,火系补货商人,elem_火,pal_009,燎火鹿,火,青铜,4,2,100,火、输出、火系压制、爆发、前排
ysbzs-local,1,1,事件节点1,3,node_shop_fire,火系补货商人,shop_offer,火系补货商人,elem_火,pal_009,燎火鹿,火,青铜,4,2,100,火、输出、火系压制、爆发、前排
ysbzs-local,1,1,事件节点1,3,node_shop_fire,火系补货商人,shop_offer,火系补货商人,elem_火,pal_009,燎火鹿,火,青铜,4,2,100,火、输出、火系压制、爆发、前排
ysbzs-local,1,1,事件节点1,3,node_shop_fire,火系补货商人,shop_offer,火系补货商人,elem_火,pal_005,火绒狐,火,青铜,4,2,100,火、抗压承伤、爆发、前排
ysbzs-local,1,2,事件节点2,1,node_shop_fire,火系补货商人,shop_offer,火系补货商人,elem_火,pal_009,燎火鹿,火,青铜,4,2,100,火、输出、火系压制、爆发、前排
ysbzs-local,1,2,事件节点2,1,node_shop_fire,火系补货商人,shop_offer,火系补货商人,elem_火,pal_005,火绒狐,火,青铜,4,2,100,火、抗压承伤、爆发、前排
ysbzs-local,1,2,事件节点2,1,node_shop_fire,火系补货商人,shop_offer,火系补货商人,elem_火,pal_009,燎火鹿,火,青铜,4,2,100,火、输出、火系压制、爆发、前排
ysbzs-local,1,2,事件节点2,1,node_shop_fire,火系补货商人,shop_offer,火系补货商人,elem_火,pal_009,燎火鹿,火,青铜,4,2,100,火、输出、火系压制、爆发、前排
ysbzs-local,1,2,事件节点2,1,node_shop_fire,火系补货商人,shop_offer,火系补货商人,elem_火,pal_009,燎火鹿,火,青铜,4,2,100,火、输出、火系压制、爆发、前排
ysbzs-local,1,2,事件节点2,2,node_shop_basic,夜市商人,shop_offer,夜市商人,night_base,pal_021,露娜蒂,土,青铜,4,2,100,土、坦克、抗压承伤、防御、前排、阻挡
ysbzs-local,1,2,事件节点2,2,node_shop_basic,夜市商人,shop_offer,夜市商人,night_base,pal_015,啼卡尔,土,青铜,6,3,100,土、坦克、重甲抗压、防御、前排、阻挡
ysbzs-local,1,2,事件节点2,2,node_shop_basic,夜市商人,shop_offer,夜市商人,night_base,pal_009,燎火鹿,火,青铜,4,2,100,火、输出、火系压制、爆发、前排
ysbzs-local,1,2,事件节点2,2,node_shop_basic,夜市商人,shop_offer,夜市商人,night_base,pal_017,瞅什魔,土,青铜,6,3,100,土、坦克、重甲抗压、防御、前排、阻挡
ysbzs-local,1,2,事件节点2,3,node_reward_pet,宠物奖励,reward_pet,宠物奖励,reward_pT1,pal_017,瞅什魔,土,青铜,,3,60,土、坦克、重甲抗压、防御、前排、阻挡
ysbzs-local,1,2,事件节点2,3,node_reward_pet,宠物奖励,reward_pet,宠物奖励,reward_pT1,pal_017,瞅什魔,土,青铜,,3,60,土、坦克、重甲抗压、防御、前排、阻挡
ysbzs-local,1,4,事件节点3,1,node_reward_pet,宠物奖励,reward_pet,宠物奖励,reward_pT1,pal_035,灌木羊,风,青铜,,1,60,风、召唤、召唤铺场、成长、核心
ysbzs-local,1,4,事件节点3,1,node_reward_pet,宠物奖励,reward_pet,宠物奖励,reward_pT1,pal_003,皮皮鸡,风,青铜,,1,60,风、削弱远点、发育
ysbzs-local,1,4,事件节点3,2,node_shop_fire,火系补货商人,shop_offer,火系补货商人,elem_火,pal_005,火绒狐,火,青铜,4,2,100,火、抗压承伤、爆发、前排
ysbzs-local,1,4,事件节点3,2,node_shop_fire,火系补货商人,shop_offer,火系补货商人,elem_火,pal_005,火绒狐,火,青铜,4,2,100,火、抗压承伤、爆发、前排
ysbzs-local,1,4,事件节点3,2,node_shop_fire,火系补货商人,shop_offer,火系补货商人,elem_火,pal_009,燎火鹿,火,青铜,4,2,100,火、输出、火系压制、爆发、前排
ysbzs-local,1,4,事件节点3,2,node_shop_fire,火系补货商人,shop_offer,火系补货商人,elem_火,pal_005,火绒狐,火,青铜,4,2,100,火、抗压承伤、爆发、前排
ysbzs-local,1,4,事件节点3,2,node_shop_fire,火系补货商人,shop_offer,火系补货商人,elem_火,pal_005,火绒狐,火,青铜,4,2,100,火、抗压承伤、爆发、前排
ysbzs-local,1,4,事件节点3,3,node_shop_basic,夜市商人,shop_offer,夜市商人,night_base,pal_007,伏特喵,风,青铜,4,2,100,风、抗压承伤、前排、阻挡
ysbzs-local,1,4,事件节点3,3,node_shop_basic,夜市商人,shop_offer,夜市商人,night_base,pal_008,新叶猿,风,青铜,4,2,100,风、坦克、抗压承伤、防御、前排、阻挡
ysbzs-local,1,4,事件节点3,3,node_shop_basic,夜市商人,shop_offer,夜市商人,night_base,pal_028,波娜兔,风,青铜,6,3,100,风、治疗、风系铺场、后排、增益
ysbzs-local,1,4,事件节点3,3,node_shop_basic,夜市商人,shop_offer,夜市商人,night_base,pal_020,草莽猪,土,青铜,4,2,100,土、坦克、抗压承伤、防御、前排、阻挡
ysbzs-local,1,4,事件节点3,3,node_shop_basic,夜市商人,shop_offer,夜市商人,night_base,pal_001,棉悠悠,风,青铜,2,1,100,风、基准单点、发育
ysbzs-local,1,5,事件节点4,1,node_shop_fire,火系补货商人,shop_offer,火系补货商人,elem_火,pal_009,燎火鹿,火,青铜,4,2,100,火、输出、火系压制、爆发、前排
ysbzs-local,1,5,事件节点4,1,node_shop_fire,火系补货商人,shop_offer,火系补货商人,elem_火,pal_005,火绒狐,火,青铜,4,2,100,火、抗压承伤、爆发、前排
ysbzs-local,1,5,事件节点4,1,node_shop_fire,火系补货商人,shop_offer,火系补货商人,elem_火,pal_009,燎火鹿,火,青铜,4,2,100,火、输出、火系压制、爆发、前排
ysbzs-local,1,5,事件节点4,1,node_shop_fire,火系补货商人,shop_offer,火系补货商人,elem_火,pal_005,火绒狐,火,青铜,4,2,100,火、抗压承伤、爆发、前排
ysbzs-local,1,5,事件节点4,1,node_shop_fire,火系补货商人,shop_offer,火系补货商人,elem_火,pal_009,燎火鹿,火,青铜,4,2,100,火、输出、火系压制、爆发、前排
ysbzs-local,1,5,事件节点4,2,node_reward_pet,宠物奖励,reward_pet,宠物奖励,reward_pT1,pal_010,企丸丸,水,青铜,,2,60,水、治疗、水系牵制、后排、增益
ysbzs-local,1,5,事件节点4,2,node_reward_pet,宠物奖励,reward_pet,宠物奖励,reward_pT1,pal_009,燎火鹿,火,青铜,,2,60,火、输出、火系压制、爆发、前排
ysbzs-local,1,5,事件节点4,3,node_shop_basic,夜市商人,shop_offer,夜市商人,night_base,pal_035,灌木羊,风,青铜,2,1,100,风、召唤、召唤铺场、成长、核心
ysbzs-local,1,5,事件节点4,3,node_shop_basic,夜市商人,shop_offer,夜市商人,night_base,pal_035,灌木羊,风,青铜,2,1,100,风、召唤、召唤铺场、成长、核心
ysbzs-local,1,5,事件节点4,3,node_shop_basic,夜市商人,shop_offer,夜市商人,night_base,pal_001,棉悠悠,风,青铜,2,1,100,风、基准单点、发育
ysbzs-local,1,5,事件节点4,3,node_shop_basic,夜市商人,shop_offer,夜市商人,night_base,pal_013,叶泥泥,土,青铜,6,3,100,土、坦克、重甲抗压、防御、前排、阻挡
ysbzs-local,1,5,事件节点4,3,node_shop_basic,夜市商人,shop_offer,夜市商人,night_base,pal_014,玉藻狐,风,青铜,6,3,100,风、经济、风系铺场、召唤、发育
ysbzs-local,1,5,事件节点4,3,node_shop_basic,夜市商人,shop_offer,夜市商人,night_base,pal_002,捣蛋猫,风,青铜,2,1,100,风、抗压单点、前排、阻挡
ysbzs-local,2,1,事件节点1,1,node_d02_role_summon,召唤摊位,shop_offer,召唤摊位,role_召唤,pal_035,灌木羊,风,青铜,2,1,90,风、召唤、召唤铺场、成长、核心
ysbzs-local,2,1,事件节点1,1,node_d02_role_summon,召唤摊位,shop_offer,召唤摊位,role_召唤,pal_035,灌木羊,风,青铜,2,1,90,风、召唤、召唤铺场、成长、核心
ysbzs-local,2,1,事件节点1,1,node_d02_role_summon,召唤摊位,shop_offer,召唤摊位,role_召唤,pal_035,灌木羊,风,青铜,2,1,90,风、召唤、召唤铺场、成长、核心
ysbzs-local,2,1,事件节点1,1,node_d02_role_summon,召唤摊位,shop_offer,召唤摊位,role_召唤,pal_035,灌木羊,风,青铜,2,1,90,风、召唤、召唤铺场、成长、核心
ysbzs-local,2,1,事件节点1,1,node_d02_role_summon,召唤摊位,shop_offer,召唤摊位,role_召唤,pal_035,灌木羊,风,青铜,2,1,90,风、召唤、召唤铺场、成长、核心
ysbzs-local,2,1,事件节点1,1,node_d02_role_summon,召唤摊位,shop_offer,召唤摊位,role_召唤,pal_035,灌木羊,风,青铜,2,1,90,风、召唤、召唤铺场、成长、核心
ysbzs-local,2,1,事件节点1,1,node_d02_role_summon,召唤摊位,shop_offer,召唤摊位,role_召唤,pal_035,灌木羊,风,青铜,2,1,90,风、召唤、召唤铺场、成长、核心
ysbzs-local,2,1,事件节点1,1,node_d02_role_summon,召唤摊位,shop_offer,召唤摊位,role_召唤,pal_035,灌木羊,风,青铜,2,1,90,风、召唤、召唤铺场、成长、核心
ysbzs-local,2,1,事件节点1,1,node_d02_role_summon,召唤摊位,shop_offer,召唤摊位,role_召唤,pal_035,灌木羊,风,青铜,2,1,90,风、召唤、召唤铺场、成长、核心
ysbzs-local,2,1,事件节点1,1,node_d02_role_summon,召唤摊位,shop_offer,召唤摊位,role_召唤,pal_035,灌木羊,风,青铜,2,1,90,风、召唤、召唤铺场、成长、核心
ysbzs-local,2,1,事件节点1,2,node_d02_reward_pet,宠物奖励,reward_pet,宠物奖励,reward_pT1,pal_024,喵丝特,土,青铜,,2,60,土、经济、土系抗压、召唤、发育
ysbzs-local,2,1,事件节点1,2,node_d02_reward_pet,宠物奖励,reward_pet,宠物奖励,reward_pT1,pal_005,火绒狐,火,青铜,,2,60,火、抗压承伤、爆发、前排
ysbzs-local,2,1,事件节点1,3,node_d02_shop_water,水系补货商人,shop_offer,水系补货商人,elem_水,pal_010,企丸丸,水,青铜,4,2,100,水、治疗、水系牵制、后排、增益
ysbzs-local,2,1,事件节点1,3,node_d02_shop_water,水系补货商人,shop_offer,水系补货商人,elem_水,pal_011,企丸王,水,青铜,4,2,100,水、治疗、水系牵制、后排、增益
ysbzs-local,2,1,事件节点1,3,node_d02_shop_water,水系补货商人,shop_offer,水系补货商人,elem_水,pal_016,壶小象,水,青铜,6,3,100,水、治疗、水系控场、后排、增益
ysbzs-local,2,1,事件节点1,3,node_d02_shop_water,水系补货商人,shop_offer,水系补货商人,elem_水,pal_025,鲁米儿,水,青铜,4,2,100,水、治疗、水系牵制、后排、增益
ysbzs-local,2,2,事件节点2,1,node_d02_role_summon,召唤摊位,shop_offer,召唤摊位,role_召唤,pal_035,灌木羊,风,青铜,2,1,90,风、召唤、召唤铺场、成长、核心
ysbzs-local,2,2,事件节点2,1,node_d02_role_summon,召唤摊位,shop_offer,召唤摊位,role_召唤,pal_035,灌木羊,风,青铜,2,1,90,风、召唤、召唤铺场、成长、核心
ysbzs-local,2,2,事件节点2,1,node_d02_role_summon,召唤摊位,shop_offer,召唤摊位,role_召唤,pal_035,灌木羊,风,青铜,2,1,90,风、召唤、召唤铺场、成长、核心
ysbzs-local,2,2,事件节点2,1,node_d02_role_summon,召唤摊位,shop_offer,召唤摊位,role_召唤,pal_035,灌木羊,风,青铜,2,1,90,风、召唤、召唤铺场、成长、核心
ysbzs-local,2,2,事件节点2,1,node_d02_role_summon,召唤摊位,shop_offer,召唤摊位,role_召唤,pal_035,灌木羊,风,青铜,2,1,90,风、召唤、召唤铺场、成长、核心
ysbzs-local,2,2,事件节点2,1,node_d02_role_summon,召唤摊位,shop_offer,召唤摊位,role_召唤,pal_035,灌木羊,风,青铜,2,1,90,风、召唤、召唤铺场、成长、核心
ysbzs-local,2,2,事件节点2,1,node_d02_role_summon,召唤摊位,shop_offer,召唤摊位,role_召唤,pal_035,灌木羊,风,青铜,2,1,90,风、召唤、召唤铺场、成长、核心
ysbzs-local,2,2,事件节点2,1,node_d02_role_summon,召唤摊位,shop_offer,召唤摊位,role_召唤,pal_035,灌木羊,风,青铜,2,1,90,风、召唤、召唤铺场、成长、核心
ysbzs-local,2,2,事件节点2,1,node_d02_role_summon,召唤摊位,shop_offer,召唤摊位,role_召唤,pal_035,灌木羊,风,青铜,2,1,90,风、召唤、召唤铺场、成长、核心
ysbzs-local,2,2,事件节点2,1,node_d02_role_summon,召唤摊位,shop_offer,召唤摊位,role_召唤,pal_035,灌木羊,风,青铜,2,1,90,风、召唤、召唤铺场、成长、核心
ysbzs-local,2,2,事件节点2,2,node_d02_role_tank,前排摊位,shop_offer,前排摊位,role_坦克,pal_013,叶泥泥,土,青铜,6,3,90,土、坦克、重甲抗压、防御、前排、阻挡
ysbzs-local,2,2,事件节点2,2,node_d02_role_tank,前排摊位,shop_offer,前排摊位,role_坦克,pal_021,露娜蒂,土,青铜,4,2,90,土、坦克、抗压承伤、防御、前排、阻挡
ysbzs-local,2,2,事件节点2,2,node_d02_role_tank,前排摊位,shop_offer,前排摊位,role_坦克,pal_020,草莽猪,土,青铜,4,2,90,土、坦克、抗压承伤、防御、前排、阻挡
ysbzs-local,2,2,事件节点2,2,node_d02_role_tank,前排摊位,shop_offer,前排摊位,role_坦克,pal_021,露娜蒂,土,青铜,4,2,90,土、坦克、抗压承伤、防御、前排、阻挡
ysbzs-local,2,2,事件节点2,3,node_d02_shop_water,水系补货商人,shop_offer,水系补货商人,elem_水,pal_011,企丸王,水,青铜,4,2,100,水、治疗、水系牵制、后排、增益
ysbzs-local,2,2,事件节点2,3,node_d02_shop_water,水系补货商人,shop_offer,水系补货商人,elem_水,pal_010,企丸丸,水,青铜,4,2,100,水、治疗、水系牵制、后排、增益
ysbzs-local,2,2,事件节点2,3,node_d02_shop_water,水系补货商人,shop_offer,水系补货商人,elem_水,pal_025,鲁米儿,水,青铜,4,2,100,水、治疗、水系牵制、后排、增益
