seed,day,step,kind,label,optionIndex,choiceId,choiceName,poolId,nodeType,weight,petSourceSummary,battleSummary,note
ysbzs-local,1,1,node_choice,事件节点1,1,node_reward_pet,宠物奖励,node_pool_d01_growth,reward,90,露娜蒂(青铜)、冲浪鸭(青铜),,生成 3 个 pT1 奖励候选
ysbzs-local,1,1,node_choice,事件节点1,2,node_shop_basic,夜市商人,node_pool_d01_growth,shop,80,新叶猿(青铜)、玉藻狐(青铜)、棉花糖(青铜)、灌木羊(青铜)、燎火鹿(青铜)、翠叶鼠(青铜),,进入基础夜市商店
ysbzs-local,1,1,node_choice,事件节点1,3,node_shop_fire,火系补货商人,node_pool_d01_growth,shop,60,火绒狐(青铜)、燎火鹿(青铜)、燎火鹿(青铜)、燎火鹿(青铜)、火绒狐(青铜),,进入火元素定向摊位
ysbzs-local,1,2,node_choice,事件节点2,1,node_shop_fire,火系补货商人,node_pool_d01_growth,shop,60,燎火鹿(青铜)、火绒狐(青铜)、燎火鹿(青铜)、燎火鹿(青铜)、燎火鹿(青铜),,进入火元素定向摊位
ysbzs-local,1,2,node_choice,事件节点2,2,node_shop_basic,夜市商人,node_pool_d01_growth,shop,80,露娜蒂(青铜)、啼卡尔(青铜)、燎火鹿(青铜)、瞅什魔(青铜),,进入基础夜市商店
ysbzs-local,1,2,node_choice,事件节点2,3,node_reward_pet,宠物奖励,node_pool_d01_growth,reward,90,瞅什魔(青铜)、瞅什魔(青铜),,生成 3 个 pT1 奖励候选
ysbzs-local,1,3,fixed_battle,第一场战斗,1,enc_d01_midday_a,中午遭遇A,,battle,100,,上午 5回合 20只：棉悠悠(青铜)、翠叶鼠(青铜)、皮皮鸡(青铜)、翠叶鼠(白银)、捣蛋猫(青铜)、捣蛋猫(青铜)、火绒狐(青铜)、棉悠悠(青铜)、翠叶鼠(青铜)、翠叶鼠(钻石) 等20个,映射当前上午波次
ysbzs-local,1,4,node_choice,事件节点3,1,node_reward_pet,宠物奖励,node_pool_d01_growth,reward,90,灌木羊(青铜)、皮皮鸡(青铜),,生成 3 个 pT1 奖励候选
ysbzs-local,1,4,node_choice,事件节点3,2,node_shop_fire,火系补货商人,node_pool_d01_growth,shop,60,火绒狐(青铜)、火绒狐(青铜)、燎火鹿(青铜)、火绒狐(青铜)、火绒狐(青铜),,进入火元素定向摊位
ysbzs-local,1,4,node_choice,事件节点3,3,node_shop_basic,夜市商人,node_pool_d01_growth,shop,80,伏特喵(青铜)、新叶猿(青铜)、波娜兔(青铜)、草莽猪(青铜)、棉悠悠(青铜),,进入基础夜市商店
ysbzs-local,1,5,node_choice,事件节点4,1,node_shop_fire,火系补货商人,node_pool_d01_growth,shop,60,燎火鹿(青铜)、火绒狐(青铜)、燎火鹿(青铜)、火绒狐(青铜)、燎火鹿(青铜),,进入火元素定向摊位
ysbzs-local,1,5,node_choice,事件节点4,2,node_reward_pet,宠物奖励,node_pool_d01_growth,reward,90,企丸丸(青铜)、燎火鹿(青铜),,生成 3 个 pT1 奖励候选
ysbzs-local,1,5,node_choice,事件节点4,3,node_shop_basic,夜市商人,node_pool_d01_growth,shop,80,灌木羊(青铜)、灌木羊(青铜)、棉悠悠(青铜)、叶泥泥(青铜)、玉藻狐(青铜)、捣蛋猫(青铜),,进入基础夜市商店
ysbzs-local,1,6,fixed_battle,第二场战斗,1,enc_d01_evening_fixed,晚上固定战,,battle,100,,下午 5回合 20只：棉悠悠(青铜)、翠叶鼠(青铜)、翠叶鼠(青铜)、火绒狐(青铜)、皮皮鸡(青铜)、皮皮鸡(青铜)、棉悠悠(青铜)、翠叶鼠(青铜)、捣蛋猫(青铜)、皮皮鸡(青铜) 等20个,映射当前下午波次
ysbzs-local,2,1,node_choice,事件节点1,1,node_d02_role_summon,召唤摊位,node_pool_d02_growth,shop,100,灌木羊(青铜)、灌木羊(青铜)、灌木羊(青铜)、灌木羊(青铜)、灌木羊(青铜)、灌木羊(青铜)、灌木羊(青铜)、灌木羊(青铜)、灌木羊(青铜)、灌木羊(青铜),,进入召唤标签摊位
ysbzs-local,2,1,node_choice,事件节点1,2,node_d02_reward_pet,宠物奖励,node_pool_d02_growth,reward,80,喵丝特(青铜)、火绒狐(青铜),,生成 3 个 pT1 奖励候选
ysbzs-local,2,1,node_choice,事件节点1,3,node_d02_shop_water,水系补货商人,node_pool_d02_growth,shop,60,企丸丸(青铜)、企丸王(青铜)、壶小象(青铜)、鲁米儿(青铜),,进入水元素定向摊位
ysbzs-local,2,2,node_choice,事件节点2,1,node_d02_role_summon,召唤摊位,node_pool_d02_growth,shop,100,灌木羊(青铜)、灌木羊(青铜)、灌木羊(青铜)、灌木羊(青铜)、灌木羊(青铜)、灌木羊(青铜)、灌木羊(青铜)、灌木羊(青铜)、灌木羊(青铜)、灌木羊(青铜),,进入召唤标签摊位
ysbzs-local,2,2,node_choice,事件节点2,2,node_d02_role_tank,前排摊位,node_pool_d02_growth,shop,90,叶泥泥(青铜)、露娜蒂(青铜)、草莽猪(青铜)、露娜蒂(青铜),,进入坦克标签摊位
ysbzs-local,2,2,node_choice,事件节点2,3,node_d02_shop_water,水系补货商人,node_pool_d02_growth,shop,60,企丸王(青铜)、企丸丸(青铜)、鲁米儿(青铜)、鲨小子(青铜)、企丸丸(青铜),,进入水元素定向摊位
ysbzs-local,2,3,fixed_battle,第一场战斗,1,enc_d02_midday_a,第二天中午遭遇A,,battle,100,,上午 5回合 20只：火绒狐(白银)、皮皮鸡(白银)、皮皮鸡(青铜)、棉悠悠(青铜)、火绒狐(青铜)、翠叶鼠(青铜)、皮皮鸡(白银)、棉悠悠(青铜)、火绒狐(青铜)、火绒狐(青铜) 等20个,映射 Day2 上午波次
ysbzs-local,2,4,node_choice,事件节点3,1,node_d02_role_tank,前排摊位,node_pool_d02_growth,shop,90,遁地鼠(青铜)、勾魂鱿(青铜)、遁地鼠(青铜)、瞅什魔(青铜),,进入坦克标签摊位
ysbzs-local,2,4,node_choice,事件节点3,2,node_d02_role_summon,召唤摊位,node_pool_d02_growth,shop,100,灌木羊(青铜)、灌木羊(青铜)、灌木羊(青铜)、灌木羊(青铜)、灌木羊(青铜)、灌木羊(青铜)、灌木羊(青铜)、灌木羊(青铜)、灌木羊(青铜)、灌木羊(青铜),,进入召唤标签摊位
ysbzs-local,2,4,node_choice,事件节点3,3,node_d02_shop_water,水系补货商人,node_pool_d02_growth,shop,60,冲浪鸭(青铜)、壶小象(青铜)、鲁米儿(青铜)、企丸王(青铜),,进入水元素定向摊位
ysbzs-local,2,5,node_choice,事件节点4,1,node_d02_reward_pet,宠物奖励,node_pool_d02_growth,reward,80,叶泥泥(青铜)、炸蛋鸟(青铜),,生成 3 个 pT1 奖励候选
ysbzs-local,2,5,node_choice,事件节点4,2,node_d02_role_tank,前排摊位,node_pool_d02_growth,shop,90,啼卡尔(青铜)、啼卡尔(青铜)、叶泥泥(青铜),,进入坦克标签摊位
ysbzs-local,2,5,node_choice,事件节点4,3,node_d02_shop_water,水系补货商人,node_pool_d02_growth,shop,60,鲁米儿(青铜)、冲浪鸭(青铜)、企丸丸(青铜)、鲨小子(青铜)、鲨小子(青铜),,进入水元素定向摊位
